country_en,country_lc,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,Time Zone ,UTC,Y,X
United Arab Emirates,الإمارات العربية المتحدة ,AE,22618,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,جزيرة الجبيل,Al Jubail Island, UAE Standard Time,UTC+4,24.5449374,54.478034
United Arab Emirates,الإمارات العربية المتحدة ,AE,72307,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,شمل,Shamal, UAE Standard Time,UTC+4,25.8318678,56.0231288
United Arab Emirates,الإمارات العربية المتحدة ,AE,20931,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,السوت,Al Sout, UAE Standard Time,UTC+4,23.5852668,54.5565492
United Arab Emirates,الإمارات العربية المتحدة ,AE,72336,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,شمل,Shamal, UAE Standard Time,UTC+4,25.8081727,56.021616
United Arab Emirates,الإمارات العربية المتحدة ,AE,22500,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,المُنتَزه,Al Muntazah, UAE Standard Time,UTC+4,24.4250712,54.4569027
United Arab Emirates,الإمارات العربية المتحدة ,AE,30049,أبوظبي,Abu Dhabi,العين,Al Ain,المويجعي,Al Muwaij'i, UAE Standard Time,UTC+4,24.2036465,55.7111418
United Arab Emirates,الإمارات العربية المتحدة ,AE,77624,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,أذن,Adhan, UAE Standard Time,UTC+4,25.4493329,55.9948811
United Arab Emirates,الإمارات العربية المتحدة ,AE,33337,أبوظبي,Abu Dhabi,العين,Al Ain,الجيمي,Al Jimi, UAE Standard Time,UTC+4,24.2649571,55.7380261
United Arab Emirates,الإمارات العربية المتحدة ,AE,71117,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,وادي شعم,Wadi Sham, UAE Standard Time,UTC+4,26.0285969,56.1159574
United Arab Emirates,الإمارات العربية المتحدة ,AE,24219,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة الرياض,Madinat Al Riyad, UAE Standard Time,UTC+4,24.3122258,54.6934156
United Arab Emirates,الإمارات العربية المتحدة ,AE,13038,أبوظبي,Abu Dhabi,الغربية,Western,مزيرعة,Mzeerah, UAE Standard Time,UTC+4,23.1260697,53.8133903
United Arab Emirates,الإمارات العربية المتحدة ,AE,22651,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,جزيرة المارية,Al Maryah Island, UAE Standard Time,UTC+4,24.5039615,54.3897387
United Arab Emirates,الإمارات العربية المتحدة ,AE,12853,أبوظبي,Abu Dhabi,الغربية,Western,المحاضر الشرقية,Eastern Mahadir, UAE Standard Time,UTC+4,23.0916112,53.9635599
United Arab Emirates,الإمارات العربية المتحدة ,AE,10111,أبوظبي,Abu Dhabi,الغربية,Western,مدينة زايد,Zayed City, UAE Standard Time,UTC+4,23.5775292,53.6240565
United Arab Emirates,الإمارات العربية المتحدة ,AE,75206,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,سيح الحرف,Saih Al Hurf, UAE Standard Time,UTC+4,25.7191085,56.0198809
United Arab Emirates,الإمارات العربية المتحدة ,AE,23851,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,الفلاح,Al Falah, UAE Standard Time,UTC+4,24.4279909,54.7192802
United Arab Emirates,الإمارات العربية المتحدة ,AE,12631,أبوظبي,Abu Dhabi,الغربية,Western,بو الذياب,Bu Al Dhiyab, UAE Standard Time,UTC+4,23.3360887,53.7741591
United Arab Emirates,الإمارات العربية المتحدة ,AE,34644,أبوظبي,Abu Dhabi,العين,Al Ain,ناهل,Nahil, UAE Standard Time,UTC+4,24.504886,55.5742296
United Arab Emirates,الإمارات العربية المتحدة ,AE,22418,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,حدبة الزعفرانة,Hadbat Al Zafaranah, UAE Standard Time,UTC+4,24.4417489,54.4015603
United Arab Emirates,الإمارات العربية المتحدة ,AE,24262,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة الرياض,Madinat Al Riyad, UAE Standard Time,UTC+4,24.2961683,54.7233094
United Arab Emirates,الإمارات العربية المتحدة ,AE,78611,رأس الخيمة,Ras Al Khaimah,رأس الخيمة جنوب,South Ras Al Khaimah,كدرا,Kadrah, UAE Standard Time,UTC+4,25.1525446,56.0287145
United Arab Emirates,الإمارات العربية المتحدة ,AE,13010,أبوظبي,Abu Dhabi,الغربية,Western,المحاضر الغربية,Western Mahadir, UAE Standard Time,UTC+4,23.1054225,53.597839
United Arab Emirates,الإمارات العربية المتحدة ,AE,23650,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة شخبوط,Shakhbout City, UAE Standard Time,UTC+4,24.3647051,54.6199005
United Arab Emirates,الإمارات العربية المتحدة ,AE,30072,أبوظبي,Abu Dhabi,العين,Al Ain,فلج هزاع,Falaj Hazza', UAE Standard Time,UTC+4,24.1847347,55.7413713
United Arab Emirates,الإمارات العربية المتحدة ,AE,24215,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة الرياض,Madinat Al Riyad, UAE Standard Time,UTC+4,24.2882448,54.6863387
United Arab Emirates,الإمارات العربية المتحدة ,AE,75914,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,الحمرانية,Al Hamraniah, UAE Standard Time,UTC+4,25.6113112,55.8990205
United Arab Emirates,الإمارات العربية المتحدة ,AE,22410,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,السعادة,Al Saadah, UAE Standard Time,UTC+4,24.4326538,54.4155309
United Arab Emirates,الإمارات العربية المتحدة ,AE,30448,أبوظبي,Abu Dhabi,العين,Al Ain,أم غافة,Um Ghafah, UAE Standard Time,UTC+4,24.1063225,55.9325828
United Arab Emirates,الإمارات العربية المتحدة ,AE,71314,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,شعم,Sham, UAE Standard Time,UTC+4,26.0163735,56.0876143
