postal_code,country_en,country_code,region1_lc,region1_en,region2_lc,region2_en,longitude,latitude,timezone,utc
B1557,Argentina,AR,BuenosAires,BuenosAires,LaMatanza,LaMatanza,-58.575275,-34.752098,America/Argentina/Buenos_Aires,UTC-03:00
B1602,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.478264,-34.535841,America/Argentina/Buenos_Aires,UTC-03:00
B1603,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.517158,-34.548997,America/Argentina/Buenos_Aires,UTC-03:00
B1604,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.521608,-34.543376,America/Argentina/Buenos_Aires,UTC-03:00
B1605,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.521126,-34.523537,America/Argentina/Buenos_Aires,UTC-03:00
B1606,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.536567,-34.530862,America/Argentina/Buenos_Aires,UTC-03:00
B1607,Argentina,AR,BuenosAires,BuenosAires,SanIsidro,SanIsidro,-58.542132,-34.514296,America/Argentina/Buenos_Aires,UTC-03:00
B1608,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.596931,-34.45325,America/Argentina/Buenos_Aires,UTC-03:00
B1609,Argentina,AR,BuenosAires,BuenosAires,SanIsidro,SanIsidro,-58.568636,-34.517499,America/Argentina/Buenos_Aires,UTC-03:00
B1610,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.685626,-34.460127,America/Argentina/Buenos_Aires,UTC-03:00
B1611,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.607487,-34.495749,America/Argentina/Buenos_Aires,UTC-03:00
B1612,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.666693,-34.50305,America/Argentina/Buenos_Aires,UTC-03:00
B1613,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.717752,-34.507725,America/Argentina/Buenos_Aires,UTC-03:00
B1614,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.666415,-34.48676,America/Argentina/Buenos_Aires,UTC-03:00
B1615,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.745625,-34.494941,America/Argentina/Buenos_Aires,UTC-03:00
B1616,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.710051,-34.485154,America/Argentina/Buenos_Aires,UTC-03:00
B1617,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.652109,-34.457751,America/Argentina/Buenos_Aires,UTC-03:00
B1618,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.70601,-34.421426,America/Argentina/Buenos_Aires,UTC-03:00
B1621,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.638284,-34.453146,America/Argentina/Buenos_Aires,UTC-03:00
B1622,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.701887,-34.424597,America/Argentina/Buenos_Aires,UTC-03:00
B1624,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.64113,-34.396526,America/Argentina/Buenos_Aires,UTC-03:00
B1629,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.909011,-34.474308,America/Argentina/Buenos_Aires,UTC-03:00
B1630,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.90471,-34.436186,America/Argentina/Buenos_Aires,UTC-03:00
B1631,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.871436,-34.413928,America/Argentina/Buenos_Aires,UTC-03:00
B1633,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.913704,-34.449295,America/Argentina/Buenos_Aires,UTC-03:00
B1634,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.833572,-34.485012,America/Argentina/Buenos_Aires,UTC-03:00
