postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
7000,47.8457,16.5233,Eisenstadt,Eisenstadt Stadt,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7000,47.85,16.55,Eisenstadt,Eisenstadt Stadt,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7000,47.8415,16.5041,Eisenstadt,Eisenstadt Stadt,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7071,47.8012,16.6716,Rust,Rust Stadt,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
2443,47.9335,16.4791,Leithaprodersdorf,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
2443,47.9,16.55,Stotzing,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
2443,47.9156,16.5179,Loretto,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
2485,47.9167,16.4333,Wimpassing an der Leitha,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
2491,47.8656,16.3786,Neufeld an der Leitha,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
2491,47.8805,16.4445,Hornstein,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
2491,47.8333,16.4167,Steinbrunn,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7011,47.781,16.5423,Siegendorf,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7012,47.7647,16.5138,Zagersdorf,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7013,47.7728,16.5281,Klingenbach,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7033,47.7997,16.3994,Zillingtal,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7034,47.7997,16.3994,Zillingtal,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7035,47.7997,16.3994,Zillingtal,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7035,47.8333,16.4167,Steinbrunn,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7041,47.7975,16.5045,Wulkaprodersdorf,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7051,47.8359,16.4804,Großhöflein,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7052,47.8394,16.4626,Müllendorf,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7053,47.8805,16.4445,Hornstein,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7061,47.8219,16.6317,Trausdorf an der Wulka,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
7062,47.8034,16.6088,Sankt Margarethen im Burgenland,Eisenstadt-Umgebung,Burgenland,Austria,AT,Europe/Vienna,UTC +1.0
