postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
7800,23.55,89.7833,Faridpursadar,Faridpur,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
1742,24.43,90.5342,Rajendrapur Canttome,Gazipur,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
2338,24.2162,90.95,Laksmipur,Kishoreganj,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
2380,24.3491,90.9571,Ostagram,Kishoreganj,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
1544,23.5604,90.3444,Shekher Nagar,Munshiganj,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
1464,23.7871,90.5252,Murapara,Narayanganj,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
1604,23.999,90.6925,Madhabdi,Narshingdi,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
7700,23.7187,89.6105,Rajbari Sadar,Rajbari,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
8023,23.2709,90.453,Upshi,Shariatpur,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
1920,24.2857,90.0003,Basail,Tangail,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
1945,24.0977,90.1303,Mohera,Tangail,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
1981,24.2857,90.0003,Zahidganj,Tangail,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
7320,23.6098,89.3147,Shailakupa,Jinaidaha,Khulna Division,Bangladesh,BD,Asia/Dhaka,UTC+6
7350,23.439,89.1684,Naldanga,Jinaidaha,Khulna Division,Bangladesh,BD,Asia/Dhaka,UTC+6
9281,22.5829,89.2827,Godaipur,Khulna,Khulna Division,Bangladesh,BD,Asia/Dhaka,UTC+6
7611,23.3824,89.4612,Langalbadh,Magura,Khulna Division,Bangladesh,BD,Asia/Dhaka,UTC+6
7520,23.043,89.6309,Kalia,Narail,Khulna Division,Bangladesh,BD,Asia/Dhaka,UTC+6
9430,22.6297,89.1474,Debbhata,Satkhira,Khulna Division,Bangladesh,BD,Asia/Dhaka,UTC+6
5890,24.8089,88.987,Adamdighi,Bogra,Rājshāhi Division,Bangladesh,BD,Asia/Dhaka,UTC+6
5930,25.0617,89.1665,kalai,Joypurhat,Rājshāhi Division,Bangladesh,BD,Asia/Dhaka,UTC+6
6560,25.1198,88.6013,Sapahar,Naogaon,Rājshāhi Division,Bangladesh,BD,Asia/Dhaka,UTC+6
6201,24.7514,88.3819,Rajshahi Court,Rajshahi,Rājshāhi Division,Bangladesh,BD,Asia/Dhaka,UTC+6
6202,24.7514,88.3819,Rajshahi Canttonment,Rajshahi,Rājshāhi Division,Bangladesh,BD,Asia/Dhaka,UTC+6
6280,24.1978,88.8464,Bagha,Rajshahi,Rājshāhi Division,Bangladesh,BD,Asia/Dhaka,UTC+6
3440,24.2283,91.2428,Nasirnagar,Brahmanbaria,Chittagong,Bangladesh,BD,Asia/Dhaka,UTC+6
3602,23.2453,90.7281,Baburhat,Chandpur,Chittagong,Bangladesh,BD,Asia/Dhaka,UTC+6
4223,22.3948,91.8365,Export Processing,Chittagong,Chittagong,Bangladesh,BD,Asia/Dhaka,UTC+6
4369,22.4192,91.9447,Charandwip,Chittagong,Chittagong,Bangladesh,BD,Asia/Dhaka,UTC+6
3510,23.539,90.7511,Chandia,Comilla,Chittagong,Bangladesh,BD,Asia/Dhaka,UTC+6
3943,23.1167,91.4333,Munshirhat,Feni,Chittagong,Bangladesh,BD,Asia/Dhaka,UTC+6
4440,23.0222,91.9808,Ramghar Head Office,Khagrachari,Chittagong,Bangladesh,BD,Asia/Dhaka,UTC+6
4580,22.4934,92.2359,Longachh,Rangamati,Chittagong,Bangladesh,BD,Asia/Dhaka,UTC+6
8564,22.2848,89.9709,Tiarkhali,Pirojpur,Barisal Division,Bangladesh,BD,Asia/Dhaka,UTC+6
8566,22.2848,89.9709,Shilarganj,Pirojpur,Barisal Division,Bangladesh,BD,Asia/Dhaka,UTC+6
3221,24.3826,91.9019,Keramatnaga,Moulvibazar,Sylhet Division,Bangladesh,BD,Asia/Dhaka,UTC+6
3061,24.9086,91.5303,Syedpur,Sunamganj,Sylhet Division,Bangladesh,BD,Asia/Dhaka,UTC+6
3131,24.7809,91.8772,Dashghar,Sylhet,Sylhet Division,Bangladesh,BD,Asia/Dhaka,UTC+6
3172,24.8167,92.1167,Mathiura,Sylhet,Sylhet Division,Bangladesh,BD,Asia/Dhaka,UTC+6
5226,25.8623,88.654,Maharajganj,Dinajpur,Rangpur Division,Bangladesh,BD,Asia/Dhaka,UTC+6
5730,25.2821,89.353,Palashbari,Gaibandha,Rangpur Division,Bangladesh,BD,Asia/Dhaka,UTC+6
5530,26.1249,89.1408,Hatibandha,Lalmonirhat,Rangpur Division,Bangladesh,BD,Asia/Dhaka,UTC+6
5102,25.9152,88.1013,Shibganj,Thakurgaon,Rangpur Division,Bangladesh,BD,Asia/Dhaka,UTC+6
2030,25.1424,89.7622,Dewangonj,Jamalpur,Dhaka Division,Bangladesh,BD,Asia/Dhaka,UTC+6
