postcode,latitude,longitude,region_2_en,region_1_en,country_en,country_code,timezone,utc
225110,52.1904,23.9143,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225111,52.1904,23.9143,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225112,52.1904,23.9143,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225114,52.1904,23.9143,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225115,52.1531,24.0502,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225116,52.1346,23.9871,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225117,52.3164,23.9941,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225118,52.1575,23.6258,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225119,52.1904,23.9143,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225120,52.5408,25.0748,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225121,52.3261,24.2954,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225122,52.3928,23.9875,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225123,52.1822,24.7651,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225124,52.2698,23.9954,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225125,52.3191,24.043,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225127,52.2516,23.9065,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225128,52.3261,24.2954,Jabinka,Brest,Belarus,BY,Europe/Minsk,UTC+3
225502,51.9891,26.987,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225510,51.8911,26.846,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225511,51.8519,26.8929,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225512,51.9792,26.7167,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225513,52.0192,26.6146,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225514,52.0746,27.1991,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225515,52.0812,26.7163,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225516,52.087,25.2309,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225517,52.0191,27.1692,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225519,51.8096,27.065,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225521,51.8282,26.826,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225522,51.9075,26.5758,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225523,51.9075,26.5758,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225524,51.9486,26.3989,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225525,51.9075,26.5758,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225526,51.9248,26.6744,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225527,51.9285,26.4041,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225528,51.9075,26.5758,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225530,51.9035,26.8733,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225531,51.938,26.9075,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225532,51.965,26.9392,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225533,51.9756,27.067,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225534,51.9532,27.0507,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225535,52.03,26.8651,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225536,51.9848,26.7663,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225537,51.9126,26.9257,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225538,52.0219,27.0577,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225539,51.965,26.9392,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225540,52.0566,27.2161,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225541,52.0628,27.1677,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225542,52.0087,27.0645,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225543,52.0538,27.0529,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225544,52.0242,27.11,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225545,52.0379,26.9819,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225546,52.0018,26.9187,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225547,51.798,26.7755,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225548,52.0345,27.2933,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225550,52.0188,27.2349,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225551,52.0407,27.3396,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225552,52.0144,27.44,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225553,52.0469,27.4824,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225554,52.0129,27.5449,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225555,52.0412,27.4061,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225556,52.0949,27.4235,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225557,52.0777,27.3504,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225558,52.0469,27.4824,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225559,52.0175,27.3566,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225560,51.9628,26.7827,Stolin,Brest,Belarus,BY,Europe/Minsk,UTC+3
225140,52.556,24.4573,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225141,52.5168,24.5172,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225142,52.5961,24.5582,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225143,52.5961,24.5582,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225144,52.6163,24.6768,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225145,52.637,24.5836,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225146,52.7057,24.6386,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225147,52.6676,24.5179,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225148,52.5961,24.5582,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225149,52.473,24.5158,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225150,52.8302,24.8513,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225151,52.8601,24.8319,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225152,52.8256,24.997,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225153,52.8089,24.9356,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225154,52.8632,24.8936,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225155,52.9215,24.8616,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225156,52.9273,24.7176,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225157,52.8732,24.6751,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225158,52.853,24.6156,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225159,52.8377,24.9393,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225160,52.643,24.2232,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225161,52.659,24.1734,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225162,52.6672,24.0782,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225163,52.7451,24.0989,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225164,52.6698,24.2246,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225165,52.6698,24.2246,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225167,52.6698,24.2246,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225169,52.6347,24.5492,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225170,52.5262,24.3967,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225171,52.4895,24.4198,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225172,52.4235,24.3099,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225173,52.4254,24.1585,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225175,52.5573,24.2156,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225176,52.5454,24.4051,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
225177,52.5454,24.4051,Proujany,Brest,Belarus,BY,Europe/Minsk,UTC+3
