postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
10875,48.7239,9.1699,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
10875,48.7239,9.1699,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
10875,48.7239,9.1699,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
10875,48.7239,9.1699,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
10875,48.8103,9.1807,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
10875,48.8103,9.1807,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
10875,48.7794,9.1679,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
10875,48.8103,9.1807,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
10875,48.7239,9.1699,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
11512,48.7709,9.1789,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
22781,48.7385,9.1096,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
50606,48.8202,9.0937,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70131,48.7855,9.176,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70134,48.772,9.1642,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70135,48.7702,9.1559,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70136,48.7761,9.1746,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70137,48.7781,9.1667,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70138,48.778,9.1692,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70139,48.7863,9.1808,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70140,48.7816,9.1767,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70141,48.7734,9.1679,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70143,48.8246,9.2739,Rems-Murr-Kreis,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70144,48.786,9.1809,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70145,48.7936,9.1902,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70146,48.7915,9.1993,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70148,48.7784,9.1774,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70149,48.7882,9.1836,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70150,48.7936,9.2036,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70151,48.7708,9.1681,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70152,48.7755,9.1854,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70153,48.8016,9.1848,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70154,48.7871,9.1904,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70155,48.7882,9.1836,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70158,48.7636,9.1611,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70161,48.7749,9.178,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70162,48.7786,9.1709,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70166,48.7485,9.1661,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70167,48.7815,9.178,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70168,48.7784,9.1774,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70168,48.7818,9.179,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70171,48.7893,9.2085,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70320,48.8103,9.1807,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70322,48.7854,9.2411,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70323,48.7673,9.2476,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70324,48.7613,9.2705,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70324,48.7673,9.2476,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70324,48.7613,9.2705,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70324,48.776,9.2391,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70345,48.8233,9.2239,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70363,48.8,9.2201,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70365,48.8096,9.1914,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70366,48.8,9.2201,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70367,48.8,9.2201,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70369,48.8067,9.2089,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70369,48.8014,9.224,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70369,48.8016,9.2242,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70369,48.8023,9.2236,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70369,48.8006,9.2235,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70369,48.8181,9.2405,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70369,48.8233,9.2239,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70429,48.8425,9.2123,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70431,48.8383,9.1889,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70432,48.8328,9.1419,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
70432,48.8324,9.1699,Stadtkreis Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Germany,DE,Europe/Berlin,UTC+1
