postcode,x,y,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
1050,55.6806,12.5857,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1051,55.68,12.5906,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1052,55.6789,12.5901,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1053,55.678,12.5907,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1054,55.678,12.5888,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1055,55.6781,12.5877,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1056,55.6794,12.5883,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1057,55.6784,12.5893,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1058,55.6773,12.59,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1059,55.6767,12.5869,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1060,55.6778,12.5851,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1061,55.6775,12.5813,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1062,55.6775,12.582,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1063,55.678,12.5838,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1064,55.6784,12.5841,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1065,55.678,12.5812,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1066,55.6777,12.5822,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1067,55.6787,12.5817,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1068,55.6779,12.5828,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1069,55.6785,12.5832,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1070,55.6786,12.5835,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1071,55.6781,12.5832,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1072,55.6785,12.5807,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1073,55.6788,12.5804,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1074,55.6796,12.5836,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1100,55.6798,12.5827,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1101,55.6812,12.5826,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1102,55.6808,12.5827,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1103,55.6808,12.584,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1104,55.6813,12.584,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1105,55.6802,12.5821,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1106,55.6804,12.5812,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1107,55.6813,12.583,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
1110,55.6817,12.5823,København K,Copenhagen,Capital Region,Denmark,DK,Europe/Copenhagen,UTC 1.0
