postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
200101,-1.1811,-90.1968,Española Hood-Puerto Baquerizo Moreno,Cantón San Cristóbal,Galápagos,Ecuador,EC,Pacific/Galapagos,UTC -6.0
200104,-0.8258,-89.4288,El Progreso,Cantón San Cristóbal,Galápagos,Ecuador,EC,Pacific/Galapagos,UTC -6.0
200103,-0.9554,-90.9665,Puerto Villamil,Cantón Isabela,Galápagos,Ecuador,EC,Pacific/Galapagos,UTC -6.0
200107,-0.5377,-91.2237,Isla Fernandina Narborough,Cantón Isabela,Galápagos,Ecuador,EC,Pacific/Galapagos,UTC -6.0
200102,-0.7402,-90.3138,Puerto Ayora,Cantón Santa Cruz,Galápagos,Ecuador,EC,Pacific/Galapagos,UTC -6.0
200105,-0.6955,-90.3255,Bellavista,Cantón Santa Cruz,Galápagos,Ecuador,EC,Pacific/Galapagos,UTC -6.0
200106,-0.4848,-90.4482,Isla Pinzon,Cantón Santa Cruz,Galápagos,Ecuador,EC,Pacific/Galapagos,UTC -6.0
10101,-2.8965,-79.0029,Cuenca_El Vecino,Cantón Cuenca,Azuay,Ecuador,EC,Pacific/Galapagos,UTC -6.0
10102,-2.8867,-78.9943,Cuenca_El Vecino,Cantón Cuenca,Azuay,Ecuador,EC,Pacific/Galapagos,UTC -6.0
10103,-2.8905,-78.9818,Cuenca_Totorocoha,Cantón Cuenca,Azuay,Ecuador,EC,Pacific/Galapagos,UTC -6.0
10104,-2.9016,-78.9903,Cuenca_Totorocoha,Cantón Cuenca,Azuay,Ecuador,EC,Pacific/Galapagos,UTC -6.0
10105,-2.881,-79.0117,Cuenca_Cañaribamba,Cantón Cuenca,Azuay,Ecuador,EC,Pacific/Galapagos,UTC -6.0
10106,-2.8523,-79.0158,Cuenca_San Blas,Cantón Cuenca,Azuay,Ecuador,EC,Pacific/Galapagos,UTC -6.0
10107,-2.8629,-78.984,Cuenca_El Sagrario,Cantón Cuenca,Azuay,Ecuador,EC,Pacific/Galapagos,UTC -6.0
