postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
4001,36.8381,-2.4597,Almería,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4002,36.8381,-2.4597,Almería,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4002,36.8381,-2.4597,Almería,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4003,36.8381,-2.4597,Almería,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4004,36.8381,-2.4597,Almería,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4005,36.8381,-2.4597,Almería,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4006,36.8381,-2.4597,Almería,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4007,36.8381,-2.4597,Almería,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4008,36.8381,-2.4597,Almería,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4009,36.8381,-2.4597,Almería,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4070,36.8381,-2.4597,,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4071,36.8381,-2.4597,,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4080,36.8381,-2.4597,,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4100,36.9665,-2.2059,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4110,36.938,-2.1323,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4113,36.8804,-2.1597,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4113,36.8804,-2.2048,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4114,36.974,-2.1469,Lucainena de las Torres,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4114,36.9877,-2.1075,Lucainena de las Torres,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4114,37.0266,-2.0803,Lucainena de las Torres,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4114,36.9625,-2.0953,Lucainena de las Torres,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4114,36.9877,-2.1075,Lucainena de las Torres,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4114,36.9877,-2.1075,Lucainena de las Torres,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4115,36.8471,-2.0413,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4116,36.8802,-2.0047,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4116,36.8802,-2.0047,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4116,36.8737,-2.0293,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4116,36.8505,-2.1222,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4116,36.8792,-2.0096,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4117,36.8929,-2.1921,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4117,36.8369,-2.1959,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4117,36.8263,-2.1416,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4117,36.8263,-2.1416,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4117,36.8263,-2.1416,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4117,36.9118,-2.1322,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4117,36.8054,-2.1325,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4117,36.7892,-2.1095,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
4117,36.8844,-2.183,Níjar,Almería,Andalucia,Spain,ES,Europe/Madrid,UTC +1.0
