postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
100,60.1714,24.9316,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
102,60.1725,24.9328,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
120,60.1632,24.9391,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
121,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
130,60.1645,24.9487,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
131,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
140,60.1578,24.9525,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
141,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
150,60.157,24.9369,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
151,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
160,60.1671,24.9684,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
161,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
170,60.1728,24.9554,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
171,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
180,60.1634,24.919,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
181,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
190,60.146,24.9851,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
191,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
200,60.1603,24.8714,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
201,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
210,60.1513,24.8827,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
211,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
220,60.1573,24.9173,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
221,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
230,60.214,24.9195,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
231,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
232,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
240,60.2015,24.9233,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
241,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
250,60.1873,24.9127,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
251,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
260,60.1794,24.9226,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
270,60.1942,24.9007,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
271,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
280,60.2019,24.9043,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
281,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
290,60.1893,24.9064,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
300,60.2034,24.8939,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
301,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
310,60.2106,24.9035,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
320,60.2159,24.8961,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
321,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
330,60.1975,24.875,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
331,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
340,60.1819,24.8594,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
341,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
350,60.2075,24.8705,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
351,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
360,60.2182,24.8564,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
370,60.2263,24.8555,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
371,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
380,60.2173,24.8722,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
381,60.1695,24.9354,Helsinki,Helsinki,Uusimaa,Finland,FI,Europe/Helsinki,UTC +2.0
