postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
88210,48.3436,6.9613,Denipaire,Vosges,Grand Est,France,FR,Europe/Paris,UTC+1
88240,48.0652,6.1827,Grandrupt-de-Bains,Vosges,Grand Est,France,FR,Europe/Paris,UTC+1
88240,47.9737,6.1999,Fontenoy-le-Château,Vosges,Grand Est,France,FR,Europe/Paris,UTC+1
88270,48.2207,6.3047,Bocquegney,Vosges,Grand Est,France,FR,Europe/Paris,UTC+1
88270,48.2167,6.2333,Madonne-et-Lamerey,Vosges,Grand Est,France,FR,Europe/Paris,UTC+1
88300,48.25,5.8,Hagnéville-et-Roncourt,Vosges,Grand Est,France,FR,Europe/Paris,UTC+1
88300,48.3858,5.8082,Attignéville,Vosges,Grand Est,France,FR,Europe/Paris,UTC+1
88300,48.2606,5.6735,Pompierre,Vosges,Grand Est,France,FR,Europe/Paris,UTC+1
53380,48.2052,-1.0577,La Croixille,Mayenne,Pays de la Loire,France,FR,Europe/Paris,UTC+1
53410,48.138,-0.904,Saint-Ouën-des-Toits,Mayenne,Pays de la Loire,France,FR,Europe/Paris,UTC+1
53640,48.3836,-0.4094,Le Ribay,Mayenne,Pays de la Loire,France,FR,Europe/Paris,UTC+1
72008,48.0021,0.2025,Le Mans,Sarthe,Pays de la Loire,France,FR,Europe/Paris,UTC+1
72019,48.0021,0.2025,Le Mans,Sarthe,Pays de la Loire,France,FR,Europe/Paris,UTC+1
72072,48.0021,0.2025,Le Mans,Sarthe,Pays de la Loire,France,FR,Europe/Paris,UTC+1
72080,48.0021,0.2025,Le Mans,Sarthe,Pays de la Loire,France,FR,Europe/Paris,UTC+1
72084,48.0021,0.2025,Le Mans,Sarthe,Pays de la Loire,France,FR,Europe/Paris,UTC+1
72110,48.2116,0.3775,Jauzé,Sarthe,Pays de la Loire,France,FR,Europe/Paris,UTC+1
35104,48.112,-1.6743,Rennes,Ille-et-Vilaine,Bretagne,France,FR,Europe/Paris,UTC+1
35108,48.112,-1.6743,Rennes,Ille-et-Vilaine,Bretagne,France,FR,Europe/Paris,UTC+1
35111,48.5956,-1.8433,La Fresnais,Ille-et-Vilaine,Bretagne,France,FR,Europe/Paris,UTC+1
35130,47.9606,-1.1967,Availles-sur-Seiche,Ille-et-Vilaine,Bretagne,France,FR,Europe/Paris,UTC+1
35160,48.1093,-1.9272,Talensac,Ille-et-Vilaine,Bretagne,France,FR,Europe/Paris,UTC+1
35290,48.1326,-2.2218,Gaël,Ille-et-Vilaine,Bretagne,France,FR,Europe/Paris,UTC+1
35330,47.8979,-1.9685,Mernel,Ille-et-Vilaine,Bretagne,France,FR,Europe/Paris,UTC+1
35370,47.9894,-1.1246,Gennes-sur-Seiche,Ille-et-Vilaine,Bretagne,France,FR,Europe/Paris,UTC+1
35410,48.0408,-1.5467,Nouvoitou,Ille-et-Vilaine,Bretagne,France,FR,Europe/Paris,UTC+1
17136,45.7474,-0.6349,Saintes,Charente-Maritime,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
17240,45.4229,-0.6403,Saint-Ciers-du-Taillon,Charente-Maritime,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
17250,45.8822,-0.897,Trizay,Charente-Maritime,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
17250,45.8467,-0.8737,Sainte-Radegonde,Charente-Maritime,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
17270,45.2837,-0.1111,Boresse,Charente-Maritime,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
17370,45.8415,-1.2081,Saint-Trojan-les-Bains,Charente-Maritime,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
17380,46.0506,-0.7063,Chervettes,Charente-Maritime,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
17380,45.999,-0.6247,Saint-Loup,Charente-Maritime,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
17400,45.9869,-0.5219,Saint-Denis-du-Pin,Charente-Maritime,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
24800,45.3892,1.0073,Saint-Sulpice-d'Excideuil,Dordogne,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
33190,44.6239,-0.1181,Saint-Laurent-du-Plan,Gironde,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
33230,45.069,-0.0975,Les Peintures,Gironde,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
33340,45.3271,-0.9131,Prignac-en-Médoc,Gironde,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
33410,44.6364,-0.3185,Cadillac,Gironde,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
33430,44.4316,-0.2786,Lignan-de-Bazas,Gironde,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
33440,44.9274,-0.4914,Ambarès-et-Lagrave,Gironde,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
33460,45.0737,-0.7246,Arcins,Gironde,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
79100,47.039,-0.1181,Tourtenay,Deux-Sèvres,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
79150,47.0546,-0.4275,Genneton,Deux-Sèvres,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
79190,46.1097,0.1574,Montalembert,Deux-Sèvres,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
79190,46.2188,0.066,Pers,Deux-Sèvres,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
79210,46.2341,-0.6253,Le Bourdet,Deux-Sèvres,Nouvelle-Aquitaine,France,FR,Europe/Paris,UTC+1
