postal_code,place_name,region_1_en,region_2_en,latitude,longitude,country_en,country_code,timezone,utc
16000,DEPTO DE ALTA VERAPAZ,DEPTO DE ALTA VERAPAZ,San Juan Chamelco,15.387,-90.1667,Guatemala,GT,America/Guatemala,UTC -6.0
16001,COBAN,DEPTO DE ALTA VERAPAZ,Coban,15.4833,-90.3667,Guatemala,GT,America/Guatemala,UTC -6.0
16002,SANTA CRUZ VERAPAZ,DEPTO DE ALTA VERAPAZ,Santa Cruz Verapaz,15.3667,-90.4333,Guatemala,GT,America/Guatemala,UTC -6.0
16003,SAN CRISTOBAL VERAPAZ,DEPTO DE ALTA VERAPAZ,Santa Cruz Verapaz,15.3833,-90.4,Guatemala,GT,America/Guatemala,UTC -6.0
16004,TACTIC,DEPTO DE ALTA VERAPAZ,Tactic,15.3333,-90.3,Guatemala,GT,America/Guatemala,UTC -6.0
16005,TAMAHU,DEPTO DE ALTA VERAPAZ,San Miguel Tucurú,15.3333,-90.1667,Guatemala,GT,America/Guatemala,UTC -6.0
16006,TUCURU,DEPTO DE ALTA VERAPAZ,San Miguel Tucurú,15.3,-90.0667,Guatemala,GT,America/Guatemala,UTC -6.0
16007,PANZOS,DEPTO DE ALTA VERAPAZ,Senahu,15.4,-89.6667,Guatemala,GT,America/Guatemala,UTC -6.0
16008,SENAHU,DEPTO DE ALTA VERAPAZ,Senahu,15.4,-89.8333,Guatemala,GT,America/Guatemala,UTC -6.0
16009,SAN PEDRO CARCHA,DEPTO DE ALTA VERAPAZ,San Pedro Carcha,15.4833,-90.2667,Guatemala,GT,America/Guatemala,UTC -6.0
16010,SAN JUAN CHAMELCO,DEPTO DE ALTA VERAPAZ,Coban,15.4333,-90.3333,Guatemala,GT,America/Guatemala,UTC -6.0
16011,LANQUIN,DEPTO DE ALTA VERAPAZ,San Agustín Lanquín,15.5667,-89.9667,Guatemala,GT,America/Guatemala,UTC -6.0
16012,CAHABON,DEPTO DE ALTA VERAPAZ,Santa María Cahabón,15.5667,-89.8167,Guatemala,GT,America/Guatemala,UTC -6.0
16013,CHISET,DEPTO DE ALTA VERAPAZ,San Agustín Lanquín,15.5792,-89.9208,Guatemala,GT,America/Guatemala,UTC -6.0
16014,CHAHAL,DEPTO DE ALTA VERAPAZ,Chahal,15.75,-89.5667,Guatemala,GT,America/Guatemala,UTC -6.0
16015,FRAY BARTOLOME DE LAS CASAS,DEPTO DE ALTA VERAPAZ,San Agustín Lanquín,15.5792,-89.9208,Guatemala,GT,America/Guatemala,UTC -6.0
16016,LA TINTA (PANZOS),DEPTO DE ALTA VERAPAZ,San Agustín Lanquín,15.5792,-89.9208,Guatemala,GT,America/Guatemala,UTC -6.0
16017,TELEMAN (PANZOS),DEPTO DE ALTA VERAPAZ,San Agustín Lanquín,15.5792,-89.9208,Guatemala,GT,America/Guatemala,UTC -6.0
16018,PANCAJCHE (TUCURU),DEPTO DE ALTA VERAPAZ,San Agustín Lanquín,15.5792,-89.9208,Guatemala,GT,America/Guatemala,UTC -6.0
16019,SEBOL (FRAY BARTOLOME),DEPTO DE ALTA VERAPAZ,San Agustín Lanquín,15.5792,-89.9208,Guatemala,GT,America/Guatemala,UTC -6.0
16020,BOLONCO (FRAY BARTOLOME),DEPTO DE ALTA VERAPAZ,San Pedro Carcha,15.4462,-90.091,Guatemala,GT,America/Guatemala,UTC -6.0
16021,CAMPUR (SAN PEDRO CARCHA),DEPTO DE ALTA VERAPAZ,San Pedro Carcha,15.4462,-90.091,Guatemala,GT,America/Guatemala,UTC -6.0
16022,LAS CASAS,DEPTO DE ALTA VERAPAZ,San Pedro Carcha,15.4462,-90.091,Guatemala,GT,America/Guatemala,UTC -6.0
16023,SALACUIN,DEPTO DE ALTA VERAPAZ,San Pedro Carcha,15.4462,-90.091,Guatemala,GT,America/Guatemala,UTC -6.0
16024,EL ROSARIO,DEPTO DE ALTA VERAPAZ,San Pedro Carcha,15.4462,-90.091,Guatemala,GT,America/Guatemala,UTC -6.0
16025,LAS CONCHAS,DEPTO DE ALTA VERAPAZ,San Pedro Carcha,15.4462,-90.091,Guatemala,GT,America/Guatemala,UTC -6.0
16026,RAXRUHA (CHISEC),DEPTO DE ALTA VERAPAZ,San Pedro Carcha,15.4462,-90.091,Guatemala,GT,America/Guatemala,UTC -6.0
15000,DEPTO DE BAJA VERAPAZ,DEPTO DE BAJA VERAPAZ,San Miguel Chicaj,15.0516,-90.4148,Guatemala,GT,America/Guatemala,UTC -6.0
15001,SALAMA,DEPTO DE BAJA VERAPAZ,Salama,15.1,-90.2667,Guatemala,GT,America/Guatemala,UTC -6.0
15002,SAN MIGUEL CHICAJ,DEPTO DE BAJA VERAPAZ,San Miguel Chicaj,15.1,-90.4,Guatemala,GT,America/Guatemala,UTC -6.0
