postcode,x,y,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
43000,45.7123,16.8192,Krivaja,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Gornji Tomaš,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9333,16.8667,Gornje Plavnice,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,46.0256,16.7883,Jakopovac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9516,16.8918,Kupinovac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8581,16.8838,Stari Pavljani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.95,16.85,Starčevljani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8667,16.9167,Prespa,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.6975,16.8247,Šimljana,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,46.0,16.8667,Botinac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.88,17.0361,Pupelica,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8675,16.8408,Brezovac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9883,16.8514,Kapela,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,46.0139,16.8992,Jabučeta,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9333,17.05,Jasenik,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.85,16.8333,Malo Korenovo,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8764,16.875,Ždralovi,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,46.01,16.8039,Pavlin Kloštar,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9167,16.7333,Tuk,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9667,16.7333,Kraljevac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.85,16.8,Veliko Korenovo,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8328,16.7861,Narta,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.85,16.85,Novi Pavljani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.7536,16.8261,Babinac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9,16.8167,Stare Plavnice,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.7608,16.8847,Stara Plošćica,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.7333,16.8,Donja Petrička,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8833,17.0,Kašljavac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
