postal_code,latitude,longitude,place_name,region_1_en,region_2_lc,region_3_lc,country_lc,country_en,country_code,timezone,utc
7188,46.349,18.3736,Szárász,Baranya,Komlói járás,Szárász,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7300,46.1928,18.2649,Komló,Baranya,Komlói járás,Komló,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7304,46.1667,18.25,Mánfa,Baranya,Komlói járás,Mánfa,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7305,46.2221,18.2112,Mecsekpölöske,Baranya,Komlói járás,Mecsekpölöske,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7331,46.236,18.1921,Liget,Baranya,Komlói járás,Liget,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7332,46.2527,18.3119,Magyaregregy,Baranya,Komlói járás,Magyaregregy,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7333,46.2687,18.3416,Vékény,Baranya,Komlói járás,Vékény,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7333,46.2643,18.312,Kárász,Baranya,Komlói járás,Kárász,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7334,46.2955,18.3025,Köblény,Baranya,Komlói járás,Köblény,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7334,46.29,18.2812,Szalatnak,Baranya,Komlói járás,Szalatnak,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7342,46.35,18.2324,Mágocs,Baranya,Hegyháti járás,Mágocs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7343,46.3754,18.2888,Nagyhajmás,Baranya,Hegyháti járás,Nagyhajmás,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7344,46.3912,18.3334,Mekényes,Baranya,Hegyháti járás,Mekényes,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7345,46.3142,18.2479,Alsómocsolád,Baranya,Hegyháti járás,Alsómocsolád,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7346,46.3311,18.283,Bikal,Baranya,Komlói járás,Bikal,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7347,46.3318,18.3177,Egyházaskozár,Baranya,Komlói járás,Egyházaskozár,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7348,46.3112,18.3366,Hegyhátmaróc,Baranya,Komlói járás,Hegyhátmaróc,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7348,46.3111,18.3571,Tófű,Baranya,Komlói járás,Tófű,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7349,46.2767,18.3757,Szászvár,Baranya,Komlói járás,Szászvár,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7351,46.2674,18.3972,Máza,Baranya,Komlói járás,Máza,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7370,46.2544,18.1341,Felsőegerszeg,Baranya,Hegyháti járás,Felsőegerszeg,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7370,46.2472,18.1431,Varga,Baranya,Hegyháti járás,Varga,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7370,46.2904,18.1026,Meződ,Baranya,Hegyháti járás,Meződ,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7370,46.2552,18.1078,Sásd,Baranya,Hegyháti járás,Sásd,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7370,46.2184,18.1233,Oroszló,Baranya,Komlói járás,Oroszló,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7370,46.2653,18.1248,Vázsnok,Baranya,Hegyháti járás,Vázsnok,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7370,46.2602,18.07,Palé,Baranya,Hegyháti járás,Palé,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7381,46.2874,18.1783,Tékes,Baranya,Hegyháti járás,Tékes,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7381,46.2745,18.2148,Kisvaszar,Baranya,Hegyháti járás,Kisvaszar,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7381,46.2833,18.2,Ág,Baranya,Hegyháti járás,Kisvaszar,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7383,46.2333,18.0,Tormás,Baranya,Hegyháti járás,Tormás,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
