postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
67010,42.4501,13.2806,Barete,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67012,42.4642,13.2584,San Giovanni,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67012,42.4574,13.2279,Cagnano Amiterno,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67013,42.5588,13.368,Campotosto,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67013,42.5282,13.3492,Mascioni,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67013,42.5193,13.4238,Ortolano,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67013,42.5623,13.327,Poggio Cancelli,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67014,42.5204,13.3012,Capitignano,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67015,42.4985,13.1864,Cesaproba,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67015,42.4967,13.2236,Marana Di Montereale,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67015,42.5554,13.2671,Aringo,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67015,42.5248,13.1864,Ville Di Fano,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67015,42.4967,13.2236,Marana,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67015,42.5233,13.2459,Montereale,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67015,42.5057,13.2762,San Giovanni Paganica,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67017,42.436,13.2989,Pizzoli,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67017,42.4253,13.3206,San Lorenzo Di Pizzoli,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67017,42.4306,13.3097,Marruci,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67019,42.3666,13.1814,Sella Di Corno,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67019,42.3492,13.2188,Vigliano,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
67019,42.3695,13.2594,Scoppito,L'Aquila,Abruzzi,Italy,IT,Europe/Rome,UTC +1.0
