postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
490-1401,35.1053,136.7507,Rokujocho,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1402,35.1053,136.7507,Gotoyama,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1403,35.1053,136.7507,Toriganjicho,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1403,35.1053,136.7507,Toriganji,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1404,35.1053,136.7507,Ikadaba,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1405,35.1053,136.7507,Kando,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1405,35.1053,136.7507,Kandocho,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1406,35.1053,136.7507,Nabehira,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1407,35.1053,136.7507,Sambyakujima,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1411,35.1177,136.7694,Zentacho,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1412,35.1076,136.7663,Umaganji,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1413,35.1026,136.7648,Kodakaracho,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1413,35.1026,136.7648,Kodakara,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1414,35.1076,136.7663,Sakanakajicho,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1414,35.1076,136.7663,Sakanakaji,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1415,35.1076,136.7663,Sameganji,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1415,35.1076,136.7663,Sameganjicho,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1421,35.106,136.787,Kamioshihagi,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1421,35.106,136.787,Kamioshihagicho,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1422,35.11,136.7857,Shimoshihagicho,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
490-1422,35.11,136.7857,Shimoshihagi,Yatomi Shi,Aichi Ken,Japan,JP,Asia/Tokyo,UTC +9.0
