country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,region4_lc,region4_en,timezone,utc,latitude,longitude
Kenya,Kenya,KE,20424,,Rift Valley,,Bomet,,Bomet East,Oloomirani,Amalo ,Africa/Nairobi,UTC +3.0,-0.8180969,35.4309066
Kenya,Kenya,KE,20113,,Rift Valley,,Nakuru,,Bahati,,Bahati,Africa/Nairobi,UTC +3.0,-0.151918,36.1449137
Kenya,Kenya,KE,20601,,Rift Valley,,Samburu,,Samburu North,,Baragoi,Africa/Nairobi,UTC +3.0,1.7808287,36.7925994
Kenya,Kenya,KE,20400,,Rift Valley,,Bomet,,Bomet East,,Bomet,Africa/Nairobi,UTC +3.0,-0.8180969,35.4309066
Kenya,Kenya,KE,20101,,Rift Valley,,Nakuru,,Nakuru,,Bondeni,Africa/Nairobi,UTC +3.0,-4.0273333,39.680037
Kenya,Kenya,KE,20215,,Rift Valley,,Kericho,,Bureti,,Cheborge,Africa/Nairobi,UTC +3.0,-0.5799001,35.1878
Kenya,Kenya,KE,20401,,Rift Valley,,Bomet,,Chepalungu,,Chebunyo,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,20222,,Rift Valley,,Nandi,,Nandi,,Chemamul,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,20407,,Rift Valley,,Narok,,Narok,,Chemaner,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,20217,,Nairobi,,Nairobi,,Highridge,,Chepsinendet,Africa/Nairobi,UTC +3.0,-1.2626336,36.8156719
Kenya,Kenya,KE,20410,,Rift Valley,,Bomet,,Kipkoibet,,Cheptalal,Africa/Nairobi,UTC +3.0,-0.8180969,35.4309066
Kenya,Kenya,KE,20217,,Rift Valley,,Kericho,,Kipkelion East,,Chesinendet,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,20118,,Rift Valley,,Nakuru,,Dundori,,Dundori,Africa/Nairobi,UTC +3.0,-0.2532731,36.2340388
Kenya,Kenya,KE,20115,,Rift Valley,,Nakuru,,Njoro,,Egerton,Africa/Nairobi,UTC +3.0,-0.3711419,35.9376681
Kenya,Kenya,KE,20115,,Rift Valley,,Nakuru,,Njoro,,Egerton University,Africa/Nairobi,UTC +3.0,-0.3711419,35.9376681
Kenya,Kenya,KE,20102,,Rift Valley,,Nakuru,,Molo,,Elburgon,Africa/Nairobi,UTC +3.0,-0.2995415,35.8023973
Kenya,Kenya,KE,20103,,Rift Valley,,Baringo,,Eldama Ravine,,Eldama Ravine,Africa/Nairobi,UTC +3.0,0.0502915,35.7281381
Kenya,Kenya,KE,20119,,Rift Valley,,Nakuru,,Lake View,,Elementatita,Africa/Nairobi,UTC +3.0,-1.242686,36.7734105
Kenya,Kenya,KE,20140,,Rift Valley,,Baringo,,Emening,,Emining,Africa/Nairobi,UTC +3.0,0.3852093,35.746727
Kenya,Kenya,KE,20209,,Rift Valley,,Kericho,,Kipkelion West,,Fort Ternan,Africa/Nairobi,UTC +3.0,-0.809106,37.140699
Kenya,Kenya,KE,20205,,Rift Valley,,Kericho,,Belgut,,Sosiot,Africa/Nairobi,UTC +3.0,-0.3624955,35.1717256
Kenya,Kenya,KE,20406,,Rift Valley,,Bomet,,Sotik,,Sotik,Africa/Nairobi,UTC +3.0,-0.6875354,35.1134031
Kenya,Kenya,KE,20604,,Rift Valley,,Samburu,,South Horr,,South Horr,Africa/Nairobi,UTC +3.0,3.3203424,37.0681281
Kenya,Kenya,KE,20155,,Central,,Nyandarua,,Nyandarua,,South Kinangop,Africa/Nairobi,UTC +3.0,-0.7256199,36.6568935
