postcode,latitude,longitude,region_2_lc,region_1_en,country_en,country_code,timezone,utc
62001,54.4,24.05,Alytaus m. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus m. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus m. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus m. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus m. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus m. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus m. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus m. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62014,54.4,24.05,Alytaus m. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
63001,54.4,24.05,Alytaus m. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66001,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66007,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66007,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
66007,54.0167,23.9667,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
