postal_code,latitude,longitude,region_1_en,region_2_en,region_3_en,country_code,country_en,timezone,utc
32000,35.2516,-3.9372,Al Hoceima,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32003,35.1065,-3.9685,Ait Youssef Ou Ali,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32004,34.9265,-3.832,Arbaa Taourirt,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32006,35.1412,-4.1363,Rouadi,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32013,35.0745,-4.2158,Senada,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32014,35.1521,-4.3259,Torres De Alcala,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32022,35.0672,-3.9867,Ait Kamra,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32023,34.95,-3.98,Chakrane,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32024,35.1844,-3.9933,Izemmouren,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32050,35.1051,-3.8403,Bni Bouayach,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32072,35.0982,-4.0326,Nekkour,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32102,35.1002,-4.3106,Bni Boufrah,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32122,35.0584,-4.1738,Beni Gmil Mestassa,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32152,35.0225,-4.1401,Bni Hadifa,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32172,35.0526,-4.0707,Bni Abdallah,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32202,35.1464,-3.8506,Imrabten,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32250,35.1464,-3.8506,Imzouren,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32253,35.1464,-3.8506,Troukout,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32302,34.9391,-4.4938,Issaguen,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32322,34.7492,-4.6575,Ikaouen,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32323,34.9177,-4.5713,Ketama,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32324,34.9395,-4.5522,Tabarannt,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32325,35.1517,-4.4277,Taghzout,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32326,34.9395,-4.5522,Tizi Tchen,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32350,34.9377,-4.3186,Targuist,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32352,34.9377,-4.3186,Bni Ammart,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32372,34.9391,-4.4938,Ain Benabbou,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32373,34.9391,-4.4938,Bni Bounsar,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32374,34.9391,-4.4938,Bni Bchir,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
32375,34.9391,-4.4938,Sidi Bouzineb,Tanger-Tetouan-Al Hoceima,Al-Hoceima,MA,Morocco,Africa/Casablanca,UTC+1.0
