country_en,country_code,Postal Code,region_1_en,region_2_en,region_1_lc,region_2_lc,timezone,utc
myanmar,MM,1501001,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501002,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501003,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501004,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501005,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501006,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501007,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501008,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501009,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501010,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501011,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501012,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501200,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501201,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1501202,Naypyitaw Union Territory,Za Bu Thi Ri Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိ မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502001,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502002,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502003,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502004,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502005,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502006,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502007,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502200,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502201,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502202,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502203,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502204,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502205,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1502206,Naypyitaw Union Territory,Pyinmana Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနား မြို့နယ်,Asia/Yangon,utc +6.30
