postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
79000,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79100,1.4835,103.6341,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79150,1.4968,103.6524,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79200,1.4836,103.6364,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79250,1.5034,103.6522,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79502,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79503,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79504,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79505,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79511,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79513,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79514,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79517,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79518,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79520,1.457,103.7623,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79521,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79523,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79532,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79538,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79540,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79546,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79548,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79550,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79552,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79555,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79570,6.1378,100.3711,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79575,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79576,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79592,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79601,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
79603,1.5014,103.6439,,Nusajaya,Johor,Malaysia,MY,Asia/Kuala_Lumpur,UTC+8
