country_lc,country_en,country_code,postal_code,region_1_lc,region_1_en,region_2_lc,region_2_en,timezone,utc,latitude,longitude
عُمان,Oman,OM,30469,ظفار,Dhofar,رخيوت,Rukhyut,Asia/Muscat,UTC+4.0,16.84785,53.34075
عُمان,Oman,OM,70669,ظفار,Dhofar,مقشن,Muqshin,Asia/Muscat,UTC+4.0,17.32688,52.76055
عُمان,Oman,OM,72349,ظفار,Dhofar,مقشن,Muqshin,Asia/Muscat,UTC+4.0,17.40687,52.81085
عُمان,Oman,OM,72603,ظفار,Dhofar,مقشن,Muqshin,Asia/Muscat,UTC+4.0,18.70913,52.58488
عُمان,Oman,OM,73227,ظفار,Dhofar,مقشن,Muqshin,Asia/Muscat,UTC+4.0,17.41667,53.0
عُمان,Oman,OM,108867,ظفار,Dhofar,مقشن,Muqshin,Asia/Muscat,UTC+4.0,19.33333,53.33333
عُمان,Oman,OM,251133,ظفار,Dhofar,مقشن,Muqshin,Asia/Muscat,UTC+4.0,18.16116,52.91919
عُمان,Oman,OM,251154,البريمي,Al Buraymi,محضة,Mahdah,Asia/Muscat,UTC+4.0,24.60836,56.02499
عُمان,Oman,OM,285871,الوسطى,Al Wusta,محوت,Muhut,Asia/Muscat,UTC+4.0,20.17959,57.8173
عُمان,Oman,OM,285872,البريمي,Al Buraymi,محضة,Mahdah,Asia/Muscat,UTC+4.0,24.38333,56.03333
عُمان,Oman,OM,285873,شمال الباطنة,Al Batinah South,الرستاق,Ar Rustaq,Asia/Muscat,UTC+4.0,23.55417,57.23056
عُمان,Oman,OM,285874,شمال الباطنة,Al Batinah South,الرستاق,Ar Rustaq,Asia/Muscat,UTC+4.0,23.42088,57.15038
عُمان,Oman,OM,285875,الداخلية,Al Dakhiliyah,ادم,Adam,Asia/Muscat,UTC+4.0,22.16948,57.15747
عُمان,Oman,OM,285876,الوسطى,Al Wusta,هيماء,Haima,Asia/Muscat,UTC+4.0,20.81932,57.15208
عُمان,Oman,OM,285877,الداخلية,Al Dakhiliyah,ازكي,Izki,Asia/Muscat,UTC+4.0,22.88041,57.75095
