country_lc,country_en,country_code,postal_code,region_1_en,region_2_en,region_3_en,timezone,utc
Panama,Panama,PA,1001,Bocas Del Toro,Bocas Del Toro,,America/Panama,UTC -5.0
Panama,Panama,PA,1002,Bocas Del Toro,Bocas Del Toro,Bastimentos,America/Panama,UTC -5.0
Panama,Panama,PA,1003,Bocas Del Toro,Bocas Del Toro,Punta Laurel,America/Panama,UTC -5.0
Panama,Panama,PA,1004,Bocas Del Toro,Bocas Del Toro,Cauchero,America/Panama,UTC -5.0
Panama,Panama,PA,1005,Bocas Del Toro,Bocas Del Toro,Tierra Oscura,America/Panama,UTC -5.0
Panama,Panama,PA,1006,Bocas Del Toro,Changuinola,,America/Panama,UTC -5.0
Panama,Panama,PA,1007,Bocas Del Toro,Changuinola,Almirante,America/Panama,UTC -5.0
Panama,Panama,PA,1008,Bocas Del Toro,Changuinola,Guabito,America/Panama,UTC -5.0
Panama,Panama,PA,1009,Bocas Del Toro,Changuinola,El Teribe,America/Panama,UTC -5.0
Panama,Panama,PA,1010,Bocas Del Toro,Changuinola,Valle Del Risco,America/Panama,UTC -5.0
Panama,Panama,PA,1011,Bocas Del Toro,Changuinola,El Empalme,America/Panama,UTC -5.0
Panama,Panama,PA,1012,Bocas Del Toro,Changuinola,Las Tablas,America/Panama,UTC -5.0
Panama,Panama,PA,1013,Bocas Del Toro,Chiriqui Grande,,America/Panama,UTC -5.0
Panama,Panama,PA,1014,Bocas Del Toro,Chiriqui Grande,Punta Robalo,America/Panama,UTC -5.0
Panama,Panama,PA,1015,Bocas Del Toro,Chiriqui Grande,Miramar,America/Panama,UTC -5.0
Panama,Panama,PA,1016,Bocas Del Toro,Chiriqui Grande,Punta Peña,America/Panama,UTC -5.0
Panama,Panama,PA,1017,Bocas Del Toro,Chiriqui Grande,Rambala,America/Panama,UTC -5.0
Panama,Panama,PA,4001,Chiriqui,David,,America/Panama,UTC -5.0
Panama,Panama,PA,4002,Chiriqui,David,Bijagual,America/Panama,UTC -5.0
Panama,Panama,PA,4003,Chiriqui,David,Cochea,America/Panama,UTC -5.0
Panama,Panama,PA,4004,Chiriqui,David,Chiriqui,America/Panama,UTC -5.0
Panama,Panama,PA,4005,Chiriqui,David,Guaca,America/Panama,UTC -5.0
Panama,Panama,PA,4006,Chiriqui,David,Las Lomas,America/Panama,UTC -5.0
Panama,Panama,PA,4007,Chiriqui,David,Pedregal,America/Panama,UTC -5.0
Panama,Panama,PA,4008,Chiriqui,David,San Carlos,America/Panama,UTC -5.0
Panama,Panama,PA,4009,Chiriqui,David,San Pablo Nuevo,America/Panama,UTC -5.0
Panama,Panama,PA,4010,Chiriqui,David,San Pablo Viejo,America/Panama,UTC -5.0
Panama,Panama,PA,4011,Chiriqui,Baru,Puerto Armuelles,America/Panama,UTC -5.0
Panama,Panama,PA,4012,Chiriqui,Baru,Limones,America/Panama,UTC -5.0
Panama,Panama,PA,4013,Chiriqui,Baru,Progreso,America/Panama,UTC -5.0
Panama,Panama,PA,4014,Chiriqui,Baru,Baco,America/Panama,UTC -5.0
Panama,Panama,PA,4015,Chiriqui,Baru,Rodolfo Aguilar,America/Panama,UTC -5.0
Panama,Panama,PA,4016,Chiriqui,Bugaba,La Concepcion,America/Panama,UTC -5.0
Panama,Panama,PA,4017,Chiriqui,Bugaba,Aserrio De Gariche,America/Panama,UTC -5.0
Panama,Panama,PA,4018,Chiriqui,Bugaba,Bugaba,America/Panama,UTC -5.0
Panama,Panama,PA,4019,Chiriqui,Bugaba,Cerro Punta,America/Panama,UTC -5.0
Panama,Panama,PA,4020,Chiriqui,Bugaba,Gomez,America/Panama,UTC -5.0
Panama,Panama,PA,4021,Chiriqui,Bugaba,La Estrella,America/Panama,UTC -5.0
