postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
3100,-13.6389,-72.6181,Curahuasi,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3100,-13.6389,-72.6181,Curahuasi,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3100,-13.6389,-72.6181,Curahuasi,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3110,-13.4888,-72.814,San Pedro De Cachora,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3110,-13.4888,-72.814,San Pedro De Cachora,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3120,-13.4761,-72.9753,Huanipaca,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3120,-13.4761,-72.9753,Huanipaca,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3300,-13.804,-72.7881,Lambrama,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3300,-13.804,-72.7881,Lambrama,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3305,-13.9742,-72.8915,Circa,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3305,-13.9742,-72.8915,Circa,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3305,-13.9742,-72.8915,Circa,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3305,-13.9742,-72.8915,Circa,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3305,-13.9742,-72.8915,Circa,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3400,-13.7848,-73.0317,Pichirhua,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3400,-13.7848,-73.0317,Pichirhua,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3400,-13.7848,-73.0317,Pichirhua,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3400,-13.7848,-73.0317,Pichirhua,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3400,-13.7848,-73.0317,Pichirhua,Abancay,Apurimac,Peru,PE,America/Lima,UTC-5
3600,-14.296,-73.4785,Pampachiri,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3600,-14.296,-73.4785,Pampachiri,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3600,-14.296,-73.4785,Pampachiri,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3600,-14.296,-73.4785,Pampachiri,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3610,-14.0977,-73.437,Pomacocha,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3620,-13.9692,-73.4582,Tumay Huaraca,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3620,-13.9692,-73.4582,Tumay Huaraca,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3630,-13.9896,-73.551,Huayana,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3650,-13.8798,-73.6156,Chiara,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3660,-13.7895,-73.6576,San Antonio De Cachi,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3660,-13.7895,-73.6576,San Antonio De Cachi,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3660,-13.7895,-73.6576,San Antonio De Cachi,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3670,-13.7696,-73.5472,Huancaray,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3670,-13.7696,-73.5472,Huancaray,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3700,-13.6275,-73.453,Talavera,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3700,-13.6275,-73.453,Talavera,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3700,-13.6275,-73.453,Talavera,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3700,-13.6892,-73.3681,Andahuaylas,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3760,-13.6653,-73.1625,Kishuara,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3760,-13.6653,-73.1625,Kishuara,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3760,-13.6653,-73.1625,Kishuara,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3760,-13.6653,-73.1625,Kishuara,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3770,-13.6124,-73.0459,Pacobamba,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3770,-13.6043,-73.062,Pacobamba,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3780,-13.6393,-73.0946,Huancarama,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3800,-13.6334,-73.4886,Santa María De Chicmo,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3800,-13.6612,-73.5463,Santa María De Chicmo,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3800,-13.6612,-73.5463,Santa María De Chicmo,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3800,-13.6612,-73.5463,Santa María De Chicmo,Andahuaylas,Apurimac,Peru,PE,America/Lima,UTC-5
3340,-14.2561,-72.555,Oropesa,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3340,-14.436,-72.5231,Oropesa,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3340,-14.436,-72.5231,Oropesa,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3340,-14.436,-72.5231,Oropesa,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3455,-14.219,-72.9791,Pachaconas,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3455,-14.219,-72.9791,Pachaconas,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3455,-14.219,-72.9791,Pachaconas,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3460,-14.323,-72.9802,Sabaino,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3460,-14.323,-72.9802,Sabaino,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3465,-14.518,-72.7501,Antabamba,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3465,-14.518,-72.7501,Antabamba,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3465,-14.518,-72.7501,Antabamba,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3465,-14.518,-72.7501,Antabamba,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3470,-14.3403,-72.7867,Huaquirca,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3470,-14.3403,-72.7867,Huaquirca,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3475,-14.5586,-72.9084,Juan Espinoza Medrano,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
3475,-14.5586,-72.9084,Juan Espinoza Medrano,Antabamba,Apurimac,Peru,PE,America/Lima,UTC-5
