country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,timezone,utc,latitude,longitude
Singapore,Singapore,SG,18895,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2815674,103.8590089
Singapore,Singapore,SG,18906,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2758504,103.8495996
Singapore,Singapore,SG,18910,Singapore,Singapore,Straits View,Straits View,Asia/Singapore,UTC+08:00,1.2753082,103.8608999
Singapore,Singapore,SG,18915,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2772389,103.8574733
Singapore,Singapore,SG,18916,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2797774,103.8515133
Singapore,Singapore,SG,18925,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2761,103.854161
Singapore,Singapore,SG,18926,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.276298,103.855414
Singapore,Singapore,SG,18927,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.275224,103.853693
Singapore,Singapore,SG,18928,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2774413,103.8497075
Singapore,Singapore,SG,18929,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.274909,103.85535
Singapore,Singapore,SG,18930,Singapore,Singapore,Marina South,Marina South,Asia/Singapore,UTC+08:00,1.275432,103.866993
Singapore,Singapore,SG,18935,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.277459,103.852989
Singapore,Singapore,SG,18936,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.278161,103.852644
Singapore,Singapore,SG,18937,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2773,103.852121
Singapore,Singapore,SG,18940,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2800292,103.8562746
Singapore,Singapore,SG,18945,Singapore,Singapore,Straits View,Straits View,Asia/Singapore,UTC+08:00,1.2715907,103.8600471
Singapore,Singapore,SG,18946,Singapore,Singapore,Straits View,Straits View,Asia/Singapore,UTC+08:00,1.2709149,103.8612029
Singapore,Singapore,SG,18947,Singapore,Singapore,Straits View,Straits View,Asia/Singapore,UTC+08:00,1.2670359,103.8599161
Singapore,Singapore,SG,18948,Singapore,Singapore,Straits View,Straits View,Asia/Singapore,UTC+08:00,1.271873,103.8631419
Singapore,Singapore,SG,18951,Singapore,Singapore,Marina South,Marina South,Asia/Singapore,UTC+08:00,1.280396,103.8704267
