postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
974 01,48.7499,19.1857,Kynceľová,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 01,48.712,19.2269,Môlča,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 01,48.6754,19.2223,Dolná Mičiná,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 01,48.7562,19.0768,Riečka,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 01,48.8075,19.1341,Špania Dolina,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 01,48.6399,19.2406,Sebedín-Bečov,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 01,48.7622,19.1853,Nemce,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 01,48.6989,19.2144,Horná Mičiná,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 01,48.6668,19.255,Čerín - Čačín,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 01,48.7395,19.1535,Banská Bystrica,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 01,48.7321,19.1784,Banská Bystrica 1,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 04,48.7395,19.1535,Banská Bystrica,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 05,48.7103,19.0897,Malachov,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 05,48.6996,19.0833,Horné Pršany,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 09,48.7395,19.1535,Banská Bystrica,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
974 11,48.7395,19.1535,Banská Bystrica,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 02,48.8606,19.1699,Motyčky,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 02,48.8391,19.1148,Staré Hory,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 02,48.8494,19.0845,Turecká,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 03,48.8097,19.0519,Dolný Harmanec,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 03,48.7958,19.0734,Harmanec,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 11,48.7831,19.2354,Priechod,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 11,48.814,19.1957,Baláže,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 11,48.7626,19.203,Selce,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 13,48.8084,19.2905,Moštenica,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 13,48.7999,19.2575,Podkonice,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 13,48.7653,19.2755,Slovenská Ľupča,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 31,48.6525,19.1568,Hronsek,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 31,48.6713,19.1461,Vlkanová,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 32,48.6638,19.1232,Badín,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 33,48.6796,19.2729,Dúbravica,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 33,48.6846,19.2627,Oravce,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 33,48.7124,19.2927,Poniky,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 34,48.7457,19.0703,Tajov,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 34,48.7348,19.0371,Králiky,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 34,48.7718,19.022,Kordíky,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 37,48.6557,19.3128,Hrochoť,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 39,48.8801,19.2224,Donovaly,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 55,48.7453,19.361,Ľubietová,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 55,48.7161,19.3644,Povrazník,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 55,48.7229,19.3922,Strelníky,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 61,48.7828,19.32,Lučatín,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 61,48.8105,19.3156,Hiadeľ,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 62,48.8048,19.3919,Pohronský Bukovec,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 62,48.7924,19.3822,Brusno,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 81,48.7609,19.231,Štiavnička,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 96,48.7943,19.3537,Medzibrod,Okres Banská Bystrica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
966 15,48.4747,18.9337,Banská Belá,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
966 15,48.5119,18.9974,Kozelník,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.4064,18.8659,Rychňava,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.4486,18.91,Banská Štiavnica,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.4489,18.9669,Banský Studenec,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.4064,18.8659,Banská Štiavnica 1,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.3501,18.8962,Beluj,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.4064,18.8659,Kysihýbel,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.4192,18.899,Ilija,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.3301,18.8471,Baďan,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.412,18.7895,Vysoká,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.4,18.7667,Dekýš,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 01,48.366,18.8328,Počúvadlo,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 72,48.4192,18.9401,Svätý Anton,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 73,48.3582,18.9247,Prenčov,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 81,48.4394,18.8555,Štiavnické Bane,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 82,48.5419,18.9464,Močiar,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
969 82,48.4986,18.9191,Podhorie,Okres Banská Štiavnica,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 44,48.8533,19.6327,Mýto pod Ďumbierom,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 45,48.7561,19.5247,Osrblie,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 45,48.795,19.5824,Hronec,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 46,48.8076,19.571,Valaská,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 52,48.7472,19.6513,Čierny Balog,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 52,48.7472,19.6513,Medveďovo,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 53,48.6493,19.6554,Drábsko,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 53,48.6572,19.6466,Sihla,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 53,48.6427,19.6457,Vrchslatina,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 53,48.8137,19.7379,Biele Vody,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 53,48.6415,19.6495,Lom nad Rimavicou,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 56,48.7572,19.7932,Pohronská Polhora,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 57,48.7679,19.7809,Michalová,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 63,48.8169,19.4609,Predajná,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 64,48.8591,19.8058,Bacúch,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 64,48.8288,19.7616,Beňuš,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 64,48.8391,19.7448,Braväcovo,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 66,48.8523,19.8525,Polomka,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 67,48.8505,19.9115,Závadka nad Hronom,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 68,48.861,19.9692,Heľpa,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 69,48.8618,20.0162,Pohorelá,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 69,48.8346,20.0684,Vaľkovňa,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 71,48.8401,20.1297,Šumiac,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 73,48.8516,20.1885,Telgárt,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 75,48.8388,19.4597,Jasenie,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 81,48.8333,19.55,Horná Lehota,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 97,48.8125,19.4148,Nemecká,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 97,48.8203,19.4014,Ráztoka,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 98,48.8093,19.526,Podbrezová,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
976 98,48.8335,19.5052,Dolná Lehota,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
977 01,48.85,19.6,Bystrá,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
977 01,48.8892,19.689,Jarabá,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
977 03,48.8043,19.6363,Brezno,Okres Brezno,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
962 02,48.5632,19.3029,Vígľaš,Okres Detva,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
962 04,48.5508,19.4551,Korytárky,Okres Detva,Banska Bystrica,Slovakia,SK,Europe/Bratislava,UTC+01:00
