place_name,order1_name,order8_name,latitude,longitude,country_name,country_code,timezone,utc
Brownsweg,Brokopondo,Brownsweg,4.99,-55.185,Suriname,SR,America/Paramaribo,UTC -3.0
Centrum,Brokopondo,Centrum Brokopondo,5.074,-54.959,Suriname,SR,America/Paramaribo,UTC -3.0
Klaaskreek,Brokopondo,Klaaskreek,5.181,-55.112,Suriname,SR,America/Paramaribo,UTC -3.0
Kwakoegron,Brokopondo,Kwakoegron,5.061,-55.356,Suriname,SR,America/Paramaribo,UTC -3.0
Marechalskreek,Brokopondo,Marchallkreek,5.288,-55.102,Suriname,SR,America/Paramaribo,UTC -3.0
Sarakreek,Brokopondo,Sarakreek,4.566,-55.062,Suriname,SR,America/Paramaribo,UTC -3.0
Alkmaar,Commewijne,Alkmaar,5.845,-55.017,Suriname,SR,America/Paramaribo,UTC -3.0
Bakki,Commewijne,Bakkie,5.923,-54.849,Suriname,SR,America/Paramaribo,UTC -3.0
Margaretha,Commewijne,Margaretha,5.939,-55.07,Suriname,SR,America/Paramaribo,UTC -3.0
Meerzorg,Commewijne,Meerzorg,5.628,-54.893,Suriname,SR,America/Paramaribo,UTC -3.0
Nw. Amsterdam,Commewijne,Nieuw-Amsterdam,5.836,-55.091,Suriname,SR,America/Paramaribo,UTC -3.0
Tamanredjo,Commewijne,Tamanredjo,5.786,-54.853,Suriname,SR,America/Paramaribo,UTC -3.0
Johanna Maria,Coronie,Johanna Maria,5.671,-56.465,Suriname,SR,America/Paramaribo,UTC -3.0
Totness,Coronie,Totness,5.639,-56.345,Suriname,SR,America/Paramaribo,UTC -3.0
Welgelegen,Coronie,Welgelegen,5.636,-56.145,Suriname,SR,America/Paramaribo,UTC -3.0
Albina,Marowijne,Albina,5.54,-54.112,Suriname,SR,America/Paramaribo,UTC -3.0
Galibi,Marowijne,Wanhatti,5.813,-54.269,Suriname,SR,America/Paramaribo,UTC -3.0
Moengo,Marowijne,Moengo,5.695,-54.535,Suriname,SR,America/Paramaribo,UTC -3.0
Moengotapoe,Marowijne,Moengotapoe,5.565,-54.255,Suriname,SR,America/Paramaribo,UTC -3.0
Patamacca,Marowijne,Patamacca,5.405,-54.427,Suriname,SR,America/Paramaribo,UTC -3.0
Wanhatti,Marowijne,Wanhatti,5.793,-54.403,Suriname,SR,America/Paramaribo,UTC -3.0
Groot Henar,Nickerie,Groot Henar,5.568,-56.929,Suriname,SR,America/Paramaribo,UTC -3.0
Nw . Nickerie,Nickerie,Nieuw-Nickerie,5.932,-56.989,Suriname,SR,America/Paramaribo,UTC -3.0
Oostelijke Polders,Nickerie,Oost Polders,5.933,-56.898,Suriname,SR,America/Paramaribo,UTC -3.0
Wageningen,Nickerie,Wageningen,5.616,-56.658,Suriname,SR,America/Paramaribo,UTC -3.0
Westelijke Polders,Nickerie,West Polders,5.6,-57.152,Suriname,SR,America/Paramaribo,UTC -3.0
Bigi Poika,Para,Bigi Poika,5.267,-55.684,Suriname,SR,America/Paramaribo,UTC -3.0
