postal_code,latitude,longitude,region_1_lc,region_1_en,region_2_lc,region_3_lc,country_lc,country_en,country_code,timezone,utc
10100,13.7333,100.5,กรุงเทพมหานคร,Bangkok,คลองสาน,สมเด็จเจ้าพระยา,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10100,13.7333,100.5,กรุงเทพมหานคร,Bangkok,คลองสาน,สมเด็จเจ้าพระยา,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10110,13.7083,100.4562,กรุงเทพมหานคร,Bangkok,จอมทอง,บางค้อ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10120,13.7083,100.4562,กรุงเทพมหานคร,Bangkok,จอมทอง,บางค้อ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10120,13.7083,100.4562,กรุงเทพมหานคร,Bangkok,จอมทอง,บางค้อ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10140,13.6833,100.5,กรุงเทพมหานคร,Bangkok,ราษฎร์บูรณะ,บางปะกอก,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10140,13.6833,100.5,กรุงเทพมหานคร,Bangkok,ราษฎร์บูรณะ,บางปะกอก,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10150,13.7,100.4667,กรุงเทพมหานคร,Bangkok,จอมทอง,จอมทอง,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10150,13.7,100.4667,กรุงเทพมหานคร,Bangkok,จอมทอง,จอมทอง,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10160,13.7167,100.4167,กรุงเทพมหานคร,Bangkok,บางแค,บางแคเหนือ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10160,13.6833,100.35,กรุงเทพมหานคร,Bangkok,หนองแขม,หนองแขม,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10160,13.7167,100.4333,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,บางด้วน,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10170,13.7667,100.45,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,บางระมาด,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10170,13.7667,100.45,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,บางระมาด,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10200,13.75,100.5167,กรุงเทพมหานคร,Bangkok,ป้อมปราบศัตรูพ่าย,คลองมหานาค,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10210,14.1833,100.2833,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya Province,อ.ลาดบัวหลวง,หลักชัย,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10220,13.8667,100.6,กรุงเทพมหานคร,Bangkok,บางเขน,อนุสาวรีย์,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10220,13.8667,100.6,กรุงเทพมหานคร,Bangkok,บางเขน,อนุสาวรีย์,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10230,14.3333,99.9167,จ.สุพรรณบุรี,Suphan Buri Province,อ.อู่ทอง,ยุ้งทะลาย,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10230,14.3333,99.9167,จ.สุพรรณบุรี,Suphan Buri Province,อ.อู่ทอง,ยุ้งทะลาย,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10240,13.7667,100.65,กรุงเทพมหานคร,Bangkok,บางกะปิ,คลองจั่น,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10240,13.7667,100.65,กรุงเทพมหานคร,Bangkok,บางกะปิ,คลองจั่น,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10240,13.7667,100.65,กรุงเทพมหานคร,Bangkok,บางกะปิ,คลองจั่น,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10250,13.8583,100.4688,จ.นนทบุรี,Nonthaburi Province,อ.เมืองนนทบุรี,ไทรม้า,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10250,13.8583,100.4688,จ.นนทบุรี,Nonthaburi Province,อ.เมืองนนทบุรี,ไทรม้า,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10260,13.7,100.6,กรุงเทพมหานคร,Bangkok,พระโขนง,พระโขนงใต้,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10260,13.6667,100.5833,จ.สมุทรปราการ,Samut Prakan Province,อ.พระประแดง,สำโรง,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10300,13.7833,100.5167,กรุงเทพมหานคร,Bangkok,ดุสิต,ถนนนครไชยศรี,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10310,13.7833,100.5167,กรุงเทพมหานคร,Bangkok,ดุสิต,ถนนนครไชยศรี,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10320,13.7833,100.5167,กรุงเทพมหานคร,Bangkok,ดุสิต,ถนนนครไชยศรี,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10330,13.7833,100.5167,กรุงเทพมหานคร,Bangkok,ดุสิต,ถนนนครไชยศรี,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10400,13.7625,100.531,กรุงเทพมหานคร,Bangkok,ราชเทวี,ทุ่งพญาไท,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10400,13.7625,100.531,กรุงเทพมหานคร,Bangkok,ราชเทวี,ทุ่งพญาไท,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10500,13.7333,100.5333,กรุงเทพมหานคร,Bangkok,ปทุมวัน,ปทุมวัน,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10510,13.8167,100.75,กรุงเทพมหานคร,Bangkok,มีนบุรี,แสนแสบ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10510,13.8167,100.75,กรุงเทพมหานคร,Bangkok,มีนบุรี,แสนแสบ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10520,13.7167,100.7833,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,ลาดกระบัง,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10530,13.85,100.8667,กรุงเทพมหานคร,Bangkok,หนองจอก,กระทุ่มราย,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10600,13.7167,100.4833,กรุงเทพมหานคร,Bangkok,ธนบุรี,บุคคโล,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10600,13.7333,100.5,กรุงเทพมหานคร,Bangkok,คลองสาน,สมเด็จเจ้าพระยา,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10600,13.7333,100.4833,กรุงเทพมหานคร,Bangkok,บางกอกใหญ่,วัดท่าพระ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10700,13.75,100.4833,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,บ้านช่างหล่อ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10700,13.75,100.4833,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,บ้านช่างหล่อ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10800,13.8,100.5333,กรุงเทพมหานคร,Bangkok,บางซื่อ,บางซื่อ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10130,13.6667,100.5333,จ.สมุทรปราการ,Samut Prakan Province,อ.พระประแดง,ทรงคนอง,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10270,13.6,100.6,จ.สมุทรปราการ,Samut Prakan Province,อ.เมืองสมุทรปราการ,ปากน้ำ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10290,13.8583,100.4688,จ.นนทบุรี,Nonthaburi Province,อ.เมืองนนทบุรี,ไทรม้า,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10540,13.6,100.7167,จ.สมุทรปราการ,Samut Prakan Province,อ.บางพลี,บางพลีใหญ่,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10540,13.6,100.7167,จ.สมุทรปราการ,Samut Prakan Province,อ.บางพลี,บางพลีใหญ่,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
10560,13.5833,100.8167,จ.สมุทรปราการ,Samut Prakan Province,อ.บางเสาธง,บางเสาธง,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
11000,13.89,100.4333,จ.นนทบุรี,Nonthaburi Province,อ.บางบัวทอง,บางรักพัฒนา,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
11110,13.9167,100.4333,จ.นนทบุรี,Nonthaburi Province,อ.บางบัวทอง,บางบัวทอง,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
11120,13.9167,100.5,จ.นนทบุรี,Nonthaburi Province,อ.ปากเกร็ด,ปากเกร็ด,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
11130,13.8,100.4833,จ.นนทบุรี,Nonthaburi Province,อ.บางกรวย,วัดชลอ,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
11140,13.85,100.4333,จ.นนทบุรี,Nonthaburi Province,อ.บางใหญ่,บางเลน,ประเทศไทย,Thailand,TH,Asia/Bangkok,UTC+7.0
