postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_name,country_code,timezone,utc
21726,-4.898929,38.348172,Korogwe,Tanga,Tanga,Korogwe,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
39513,-2.238736,33.875686,Magu,Mwanza,Mwanza,Magu,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
23709,-1.818288,35.317316,Ngorongoro,Arusha,Arusha,Ngorongoro,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
47102,-4.9015832,29.6237815,Kigoma Urban,Kigoma,Kigoma,Kigoma Urban,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
27507,-5.446597,36.349111,Kiteto,Manyara,Manyara,Kiteto,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
33404,-2.677919,33.408094,Kwimba,Mwanza,Mwanza,Kwimba,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
41806,-5.382633,35.6965581,Kondoa,Dodoma,Dodoma,Kondoa,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
47306,-4.6144144,30.2145897,Kasulu,Kigoma,Kigoma,Kasulu,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
31501,-2.016658,33.879121,Bunda,Mara,Mara,Bunda,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
39201,-2.9631371,34.157408,Bariadi,Shinyanga,Shinyanga,Bariadi,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
53119,-8.940728,33.408548,Mbeya Urban,Mbeya,Mbeya,Mbeya Urban,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
50103,-6.3745311,31.0228788,Mpanda,Rukwa,Rukwa,Mpanda,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
41727,-4.8827186,35.5408503,Kondoa,Dodoma,Dodoma,Kondoa,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
30506,-3.4894171,31.4854606,Bukombe,Shinyanga,Shinyanga,Bukombe,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
39220,-2.8724624,33.8198085,Bariadi,Shinyanga,Shinyanga,Bariadi,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
33401,-2.577571,33.443875,Magu,Mwanza,Mwanza,Magu,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
57420,-11.197133,34.857421,Mbinga,Ruvuma,Ruvuma,Mbinga,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
65201,-10.118337,39.876239,Lindi Rural,Lindi,Lindi,Lindi Rural,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
43613,-5.2385057,34.2012574,Singida Rural,Singida,Singida,Singida Rural,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
47322,-4.683026,30.147086,Kasulu,Kigoma,Kigoma,Kasulu,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
