postal_code,latitude,longitude,region_1,region_1_en,region_2,region_2_en,region_3,region_3_en,country,country_en,country_code,timezone,utc
18000,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18001,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18002,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18003,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18005,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18006,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18007,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18008,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18009,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18014,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18015,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18018,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18020,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18021,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18023,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18024,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18028,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18029,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18030,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18031,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18032,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18034,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18035,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
18036,49.4285,32.0621,Черкаська область,Cherkasy Oblast,Черкаський район,,Черкаська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19001,49.7518,31.46,Черкаська область,Cherkasy Oblast,Черкаський район,,Канівська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19003,49.7518,31.46,Черкаська область,Cherkasy Oblast,Черкаський район,,Канівська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19010,49.6189,32.4579,Черкаська область,Cherkasy Oblast,Золотоніський район,,Чорнобаївська селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19011,49.8657,31.3683,Черкаська область,Cherkasy Oblast,Черкаський район,,Бобрицька сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19012,50.0589,30.6534,Київська область,Kiev Oblast,Обухівський район,,Обухівська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19013,50.0589,30.6534,Київська область,Kiev Oblast,Обухівський район,,Обухівська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19014,50.6922,28.1339,Житомирська область,Zhytomyr Oblast,Новоград-Волинський район,,Барашівська сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19015,50.0589,30.6534,Київська область,Kiev Oblast,Обухівський район,,Обухівська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19016,50.0589,30.6534,Київська область,Kiev Oblast,Обухівський район,,Обухівська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19017,50.0589,30.6534,Київська область,Kiev Oblast,Обухівський район,,Обухівська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19018,50.0589,30.6534,Київська область,Kiev Oblast,Обухівський район,,Обухівська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19019,50.0589,30.6534,Київська область,Kiev Oblast,Обухівський район,,Обухівська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19020,49.3568,32.9028,Полтавська область,Poltava Oblast,Кременчуцький район,,Градизька селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19021,49.3568,32.9028,Полтавська область,Poltava Oblast,Кременчуцький район,,Градизька селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
