country_en,country_lc,country_code,postcode,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,region4_lc,region4_en,utc,timezone
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Appleby,Appleby,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2338,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Ardglen,Ardglen,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2361,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Ashford,Ashford,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2361,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Atholwood,Atholwood,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2345,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Attunga,Attunga,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2390,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Baan Baa,Baan Baa,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2390,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Back Creek,Back Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2403,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Balfours Peak,Balfours Peak,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2404,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Bangheet,Bangheet,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2347,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Banoon,Banoon,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2347,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Barraba,Barraba,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Bective,Bective,,,UTC+10:00,Australia – Eastern Standard Time
