postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
1000,50.8504,4.3488,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1020,50.8759,4.3484,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1030,50.8694,4.3774,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1040,50.8327,4.3884,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1050,50.8333,4.3667,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1060,50.8276,4.3439,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1070,50.8362,4.3145,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1080,50.8499,4.3125,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1081,50.8612,4.3314,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1082,50.8657,4.2956,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1083,50.8707,4.3153,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1090,50.8731,4.3342,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1120,50.9057,4.3922,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1130,50.8956,4.417,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1140,50.8744,4.399,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1150,50.8551,4.3707,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1160,50.8167,4.4333,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1170,50.8015,4.4144,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1180,50.8022,4.3394,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1190,50.8168,4.3278,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1200,50.8439,4.4291,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
1210,50.8538,4.3728,Arrondissement Brussel-Hoofdstad,Bruxelles (19 communes),Bruxelles-Capitale,Belgium,BE,Europe/Brussels,UTC+1
2000,51.2199,4.4035,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2018,51.2199,4.4035,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2020,51.2199,4.4035,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2030,51.2199,4.4035,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2040,51.3425,4.3142,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2040,51.2199,4.4035,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2040,51.2807,4.506,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2040,51.3593,4.31,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2050,51.2199,4.4035,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2060,51.2199,4.4035,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2070,51.2198,4.3266,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2070,51.2039,4.3429,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2100,51.2213,4.4659,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
2110,51.2279,4.5189,Antwerpen,Anvers,Vlaanderen,Belgium,BE,Europe/Brussels,UTC+1
