postcode,x,y,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
8500,42.7,27.25,Ajtos,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8517,42.75,27.2333,Zet'ovo,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8518,42.7333,27.3,Ljaskovo,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8519,42.6333,27.2333,Malka poljana,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8522,42.6667,27.3167,Sudievo,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8523,42.7333,27.3667,Muglen,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8524,42.6833,27.3667,Drjankovec,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8525,42.75,27.3333,Peshhersko,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8527,42.75,27.4,Cherna mogila,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8528,42.6833,27.2,Pirne,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8529,42.65,27.1167,Chukarka,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8532,42.65,27.2,Karanovo,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8543,42.7333,27.1833,Karageorgievo,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8544,42.7167,27.1833,Poljanovo,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8545,42.7167,27.1,Chernograd,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8547,42.7667,27.05,Raklinovo,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8549,42.7333,27.1167,Topolica,Ajtos,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8000,42.5,27.4667,Burgas,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8111,42.5,27.3,Bratovo,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8112,42.6167,27.4833,Rudnik,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8113,42.6667,27.4667,Brjastovec,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8114,42.7,27.4333,Draganovo,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8115,42.6333,27.4833,Cherno more,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8116,42.65,27.45,Izvorishhe,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8117,42.5167,27.25,Ravnec,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8125,42.6333,27.4,Banevo,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8127,42.6,27.3833,Vetren,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
8154,42.4,27.4833,Marinka,Burgas,Burgas,Bulgaria,BG,Europe/Sofia,UTC+2
