postal_code,latitude,longitude,region_1_en,region_2_en,country_code,country_en,timezone,utc
69945-000,-9.9805,-66.8439,Acre,Acrelândia,BR,Brazil,America/Noronha,UTC-2.0
69935-000,-10.8833,-70.0131,Acre,Assis Brasil,BR,Brazil,America/Noronha,UTC-2.0
69932-000,-10.7677,-69.0114,Acre,Brasiléia,BR,Brazil,America/Noronha,UTC-2.0
69923-000,-9.5786,-68.172,Acre,Bujari,BR,Brazil,America/Noronha,UTC-2.0
69922-000,-10.4878,-67.8483,Acre,Capixaba,BR,Brazil,America/Noronha,UTC-2.0
69980-000,-8.0159,-72.9298,Acre,Cruzeiro do Sul,BR,Brazil,America/Noronha,UTC-2.0
69934-000,-10.9354,-68.4441,Acre,Epitaciolândia,BR,Brazil,America/Noronha,UTC-2.0
69960-000,-8.905,-70.9149,Acre,Feijó,BR,Brazil,America/Noronha,UTC-2.0
69975-000,-9.0917,-71.8407,Acre,Jordão,BR,Brazil,America/Noronha,UTC-2.0
69990-000,-7.5396,-73.4583,Acre,Mâncio Lima,BR,Brazil,America/Noronha,UTC-2.0
69950-000,-9.4895,-70.0124,Acre,Manoel Urbano,BR,Brazil,America/Noronha,UTC-2.0
69983-000,-9.1899,-72.5685,Acre,Marechal Thaumaturgo,BR,Brazil,America/Noronha,UTC-2.0
69928-000,-10.2943,-67.2682,Acre,Plácido de Castro,BR,Brazil,America/Noronha,UTC-2.0
69982-000,-8.5247,-72.8207,Acre,Porto Walter,BR,Brazil,America/Noronha,UTC-2.0
69900-000,-10.0699,-68.1553,Acre,Rio Branco,BR,Brazil,America/Noronha,UTC-2.0
69985-000,-7.8529,-73.2361,Acre,Rodrigues Alves,BR,Brazil,America/Noronha,UTC-2.0
69955-000,-9.4773,-70.3903,Acre,Santa Rosa do Purus,BR,Brazil,America/Noronha,UTC-2.0
69925-000,-9.9408,-67.3931,Acre,Senador Guiomard,BR,Brazil,America/Noronha,UTC-2.0
69940-000,-10.0357,-69.5497,Acre,Sena Madureira,BR,Brazil,America/Noronha,UTC-2.0
69970-000,-8.6552,-71.4234,Acre,Tarauacá,BR,Brazil,America/Noronha,UTC-2.0
69930-000,-10.5966,-68.6489,Acre,Xapuri,BR,Brazil,America/Noronha,UTC-2.0
69921-000,-9.6504,-67.7773,Acre,Porto Acre,BR,Brazil,America/Noronha,UTC-2.0
57490-000,-9.2699,-37.9192,Alagoas,Água Branca,BR,Brazil,America/Noronha,UTC-2.0
57660-000,-9.6749,-36.3379,Alagoas,Anadia,BR,Brazil,America/Noronha,UTC-2.0
57300-000,-9.7438,-36.5931,Alagoas,Arapiraca,BR,Brazil,America/Noronha,UTC-2.0
57690-000,-9.5298,-36.0746,Alagoas,Atalaia,BR,Brazil,America/Noronha,UTC-2.0
57925-000,-9.3975,-35.5654,Alagoas,Barra de Santo Antônio,BR,Brazil,America/Noronha,UTC-2.0
57180-000,-9.8123,-35.9609,Alagoas,Barra de São Miguel,BR,Brazil,America/Noronha,UTC-2.0
57420-000,-9.7326,-37.0888,Alagoas,Batalha,BR,Brazil,America/Noronha,UTC-2.0
