postal_code,latitude,longitude,region_1_en,region_2_en,region_3_en,country_code,country_en,timezone,utc
T0A 0A0,54.1958,-113.1506,Alberta,Division No. 13,Thorhild County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0A1,54.0029,-111.7,Alberta,Division No. 12,Saddle Lake 125,CA,Canada,America/St_Johns,UTC-2.5
T0A 0A2,54.3603,-110.0863,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 0A3,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0A4,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0A5,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0A6,54.1533,-113.1258,Alberta,Division No. 13,Thorhild County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0A7,53.8258,-113.3266,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0A8,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0A9,53.8373,-113.4121,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0B0,54.523,-110.3485,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 0B1,54.0955,-112.7881,Alberta,Division No. 12,Waskatenau,CA,Canada,America/St_Johns,UTC-2.5
T0A 0B2,54.3261,-112.9387,Alberta,Division No. 13,Thorhild County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0B3,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0B4,55.2014,-112.4652,Alberta,Division No. 13,Athabasca County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0B5,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0B6,53.9186,-110.2674,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 0B7,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0B8,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0B9,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0C0,54.0534,-111.5265,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0C1,53.6701,-113.4919,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0C2,54.8192,-112.5503,Alberta,Division No. 13,Athabasca County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0C3,54.5873,-112.8038,Alberta,Division No. 13,Boyle,CA,Canada,America/St_Johns,UTC-2.5
T0A 0C4,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0C5,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0C6,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0C7,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0C8,54.06,-112.945,Alberta,Division No. 13,Thorhild County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0C9,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0E0,54.604,-112.8412,Alberta,Division No. 13,Athabasca County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0E1,54.2355,-113.0254,Alberta,Division No. 13,Thorhild County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0E2,54.3319,-110.4828,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 0E3,53.8322,-110.4021,Alberta,Division No. 12,Unipouheos 121,CA,Canada,America/St_Johns,UTC-2.5
T0A 0E4,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0E5,54.3455,-111.6157,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0E6,53.9506,-113.1089,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0E7,54.8208,-112.675,Alberta,Division No. 13,Athabasca County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0E8,53.9911,-111.2953,Alberta,Division No. 12,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0E9,54.7696,-111.9725,Alberta,Division No. 12,Lac la Biche County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0J0,54.1642,-112.2134,Alberta,Division No. 12,Smoky Lake County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0K0,53.9385,-113.3568,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0K1,53.7163,-113.5654,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0K2,53.7163,-113.5654,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0K3,53.7163,-113.5654,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0K4,53.8373,-113.4134,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0K5,53.7841,-113.4959,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 0M0,54.746,-112.8003,Alberta,Division No. 13,Athabasca County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0N0,54.3055,-111.722,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 0P0,55.1255,-112.5339,Alberta,Division No. 13,Athabasca County,CA,Canada,America/St_Johns,UTC-2.5
