postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
5000,47.3887,8.0483,Aarau,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5001,47.3888,8.0483,Aarau 1,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5004,47.4007,8.0607,Aarau,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5017,47.4219,7.9722,Barmelweid,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5018,47.4143,8.0077,Erlinsbach,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5022,47.4052,8.0456,Rombach,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5023,47.4188,8.083,Biberstein,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5024,47.4221,8.0439,Küttigen,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5025,47.4421,8.0506,Asp,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5026,47.4566,8.0599,Densbüren,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5032,47.4055,8.0841,Aarau Rohr,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5033,47.3937,8.0879,Buchs AG,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5034,47.3749,8.084,Suhr,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5035,47.3684,8.0427,Unterentfelden,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5036,47.3542,8.0413,Oberentfelden,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5037,47.3329,8.0627,Muhen,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5042,47.3176,8.0671,Hirschthal,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5722,47.3516,8.1066,Gränichen,Bezirk Aarau,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5300,47.4901,8.2561,Turgi,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5301,47.5152,8.238,Siggenthal Station,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5303,47.5321,8.2492,Würenlingen,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5400,47.4721,8.2914,Baden,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5401,47.4733,8.3059,Baden,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5402,47.4733,8.3059,Baden,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5404,47.4549,8.2783,Baden,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5405,47.4537,8.2899,Dättwil AG,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5405,47.4733,8.3059,Baden,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5406,47.4733,8.3059,Baden,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5406,47.4381,8.2659,Rütihof,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5408,47.4804,8.3235,Ennetbaden,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5412,47.4782,8.2487,Gebenstorf,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
5412,47.4974,8.2393,Vogelsang AG,Bezirk Baden,Kanton Aargau,Switzerland,CH,Europe/Zurich,UTC +1.0
