postcode,latitude,longitude,region_2_en,region_1_en,country_en,country_code,timezone,utc
910001,-4.2153,-69.9406,Leticia,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
910007,-4.2153,-69.9406,Leticia,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
910008,-4.2153,-69.9406,Leticia,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
913010,-1.7477,-73.2083,El Encanto,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
913017,-1.7477,-73.2083,El Encanto,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
913018,-1.7477,-73.2083,El Encanto,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
913019,-1.7477,-73.2083,El Encanto,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
914050,-0.7333,-73.0167,La Chorrera,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
914057,-0.7333,-73.0167,La Chorrera,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
917010,-1.3239,-69.5744,La Pedrera,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
917017,-1.3239,-69.5744,La Pedrera,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
917018,-1.3239,-69.5744,La Pedrera,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
916017,0.0551,-71.222,La Victoria,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
916057,-0.6853,-71.1859,Miriti - Paraná,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
916058,-0.6853,-71.1859,Miriti - Paraná,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
913050,-1.0333,-74.0333,Puerto Alegría,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
913057,-1.0333,-74.0333,Puerto Alegría,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
912010,-2.1485,-71.7548,Puerto Arica,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
912017,-2.1485,-71.7548,Puerto Arica,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
912018,-2.1485,-71.7548,Puerto Arica,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
912019,-2.1485,-71.7548,Puerto Arica,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
911010,-3.7889,-70.3558,Puerto Nariño,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
911017,-3.7889,-70.3558,Puerto Nariño,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
911018,-3.7889,-70.3558,Puerto Nariño,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
915010,-0.6217,-72.384,Puerto Santander,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
915017,-0.6217,-72.384,Puerto Santander,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
915018,-0.6217,-72.384,Puerto Santander,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
915019,-0.6217,-72.384,Puerto Santander,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
911030,-2.8786,-69.7442,Tarapacá,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
911037,-2.8786,-69.7442,Tarapacá,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
911038,-2.8786,-69.7442,Tarapacá,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
911039,-2.8786,-69.7442,Tarapacá,Amazonas,Colombia,CO,America/Bogota,UTC -5.0
50001,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50002,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50003,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50004,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50005,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50006,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50007,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50010,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50011,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50012,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50013,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50014,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50015,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50016,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50017,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
50018,6.2518,-75.5636,Medellín,Antioquia,Colombia,CO,America/Bogota,UTC -5.0
