postal_code,latitude,longitude,country_el,country_tr,country_en,country_code,Region_1_el,Region_1_tr,region_1_en,Region_2_lc,Region_2_el,Region_2_tr,Region_2_en,Region_3_lc,Region_3_e1,Region_3_tr,Region_3_en,timezone,utc
5280,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5281,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5282,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5283,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5284,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5285,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5286,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5288,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5289,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5290,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5291,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5292,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5295,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5296,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5297,35.0395,33.9818,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Paralimni,Παραλίμνι,Paralimni,Paralimni,,,,,Asia/Famagusta,UTC +2.0
5320,35.0088,33.8926,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Liopetri,Λιοπέτρι,Liopetri,Liopetri,,,,,Asia/Famagusta,UTC +2.0
5330,34.9821,34.0018,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Agia Napa,Αγία Νάπα,Ayia Napa,Agia Napa,,,,,Asia/Famagusta,UTC +2.0
5350,35.0412,33.9224,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Frenaros,Φρέναρος,Frenaros,Frenaros,,,,,Asia/Famagusta,UTC +2.0
5370,35.0246,33.9459,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Sotira,Σωτήρα,Sotira,Sotira,,,,,Asia/Famagusta,UTC +2.0
5380,35.0648,33.9608,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Derinköy,Ντερινκόι,Derinköy,Deryneia,,,,,Asia/Famagusta,UTC +2.0
5390,35.0262,33.9518,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Sotira,Σωτήρα,Sotira,Sotira,,,,,Asia/Famagusta,UTC +2.0
5391,35.0262,33.9518,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Sotira,Σωτήρα,Sotira,Sotira,,,,,Asia/Famagusta,UTC +2.0
5500,35.0552,33.7839,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Düzce,Δύζτσε,Düzce,Düzce,,,,,Asia/Famagusta,UTC +2.0
5510,35.0362,33.8392,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Avgorou,Αυγόρου,Avgorou,Avgorou,,,,,Asia/Famagusta,UTC +2.0
5520,35.1002,33.8615,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Güvercinlik,Γκουβερτζινλίκ,Güvercinlik,Güvercinlik,,,,,Asia/Famagusta,UTC +2.0
5521,35.1002,33.8615,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Güvercinlik,Γκουβερτζινλίκ,Güvercinlik,Güvercinlik,,,,,Asia/Famagusta,UTC +2.0
5522,35.1002,33.8615,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Güvercinlik,Γκουβερτζινλίκ,Güvercinlik,Güvercinlik,,,,,Asia/Famagusta,UTC +2.0
5523,35.1002,33.8615,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Güvercinlik,Γκουβερτζινλίκ,Güvercinlik,Güvercinlik,,,,,Asia/Famagusta,UTC +2.0
5524,35.1002,33.8615,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Güvercinlik,Γκουβερτζινλίκ,Güvercinlik,Güvercinlik,,,,,Asia/Famagusta,UTC +2.0
5525,35.1002,33.8615,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Güvercinlik,Γκουβερτζινλίκ,Güvercinlik,Güvercinlik,,,,,Asia/Famagusta,UTC +2.0
5540,35.1047,33.681,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Akdoğan,Ακντογάν,Akdoğan,Akdoğan,,,,,Asia/Famagusta,UTC +2.0
