postcode,latitude,longitude,region_3_lc,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
10000,50.0833,14.45,Žižkov,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10000,50.0673,14.4603,Vršovice,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10000,50.0744,14.4437,Praha 10-Vinohrady,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10000,50.0847,14.5094,Praha 10-Malešice,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10000,50.0744,14.4437,Vinohrady,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10000,50.0673,14.4603,Praha 10-Vršovice,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10000,50.0847,14.5094,Malešice,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10000,50.0833,14.45,Praha 10-Žižkov,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10000,50.0774,14.4658,Strašnice,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10000,50.0774,14.4658,Praha 10-Strašnice,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10100,50.0624,14.4623,Praha 10-Záběhlice,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10100,50.0573,14.5038,Záběhlice,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10100,50.0744,14.4437,Vinohrady,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10100,50.0673,14.4603,Vršovice,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10100,50.048,14.4622,Praha 10-Michle,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10100,50.0673,14.4603,Praha 10-Vršovice,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
10100,50.0744,14.4437,Praha 10-Vinohrady,,Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe/Prague,UTC+01:00
