postcode,x,y,region_3_en,region_3_lc,region_2_en,region_1_en,country_en,country_code,timezone,utc
74305,59.3386,25.3288,Kehra,Kehra linn,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74306,59.33,25.3334,Kehra,Kehra linn,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74307,59.3309,25.3329,Kehra,Kehra linn,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74309,59.3095,25.3528,Kaunissaare,Kaunissaare küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74310,59.3253,25.3423,Lehtmetsa,Lehtmetsa küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74311,59.3585,25.3831,Looküla,Looküla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74312,59.34,25.2947,Salumetsa,Salumetsa küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74313,59.3242,25.417,Vikipalu,Vikipalu küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74314,59.3541,25.3045,Paasiku,Paasiku küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74315,59.3507,25.3281,Kehra,Kehra küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74316,59.3395,25.3568,Ülejõe,Ülejõe küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74401,59.2422,25.3246,Alavere,Alavere küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74402,59.386,25.3615,Soodla,Soodla küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74403,59.2177,25.376,Rasivere,Rasivere küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74404,59.2612,25.3029,Rooküla,Rooküla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74405,59.2672,25.402,Arava,Arava küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74407,59.2435,25.351,Uuearu,Uuearu küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74408,59.2232,25.4638,Vetla,Vetla küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74409,59.2786,25.3887,Pikva,Pikva küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74410,59.1958,25.4365,Voose,Voose küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74411,59.3799,25.2996,Anija,Anija küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74412,59.3942,25.445,Härmakosu,Härmakosu küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74413,59.3703,25.3134,Kuusemäe,Kuusemäe küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74414,59.372,25.3522,Lilli,Lilli küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74415,59.3968,25.3049,Partsaare,Partsaare küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74416,59.3829,25.4354,Raudoja,Raudoja küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74417,59.3884,25.2644,Aavere,Aavere küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74501,59.2844,25.6189,Aegviidu,Aegviidu alev,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74501,59.3114,25.6185,Pillapalu,Pillapalu küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74502,59.3265,25.6323,Pillapalu,Pillapalu küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74503,59.2873,25.5241,Mustjõe,Mustjõe küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
75215,59.2791,25.2763,Lükati,Lükati küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
75219,59.3648,25.252,Kihmla,Kihmla küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
75220,59.3527,25.1946,Linnakse,Linnakse küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
75221,59.3429,25.2419,Parila,Parila küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
75226,59.3704,25.2163,Salumäe,Salumäe küla,Anija vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76611,59.346,24.4389,Kütke,Kütke küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76614,59.3258,24.4492,Kumna,Kumna küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76617,59.3244,24.4725,Tutermaa,Tutermaa küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76704,59.377,24.3525,Adra,Adra küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76706,59.3996,24.3132,Türisalu,Türisalu küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76707,59.362,24.4097,Humala,Humala küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76901,59.4274,24.5471,Tabasalu,Tabasalu alevik,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76901,59.4081,24.5502,Laabi,Laabi küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76902,59.3866,24.5797,Harku,Harku alevik,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76902,59.403,24.5696,Laabi,Laabi küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76903,59.3904,24.4091,Vääna,Vääna küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76904,59.4409,24.4793,Ilmandu,Ilmandu küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76905,59.4587,24.4441,Muraste,Muraste küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76906,59.4333,24.5156,Rannamõisa,Rannamõisa küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76907,59.4637,24.3975,Suurupi,Suurupi küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76908,59.425,24.4623,Sõrve,Sõrve küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76909,59.4343,24.3718,Vääna-Jõesuu,Vääna-Jõesuu küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76910,59.4358,24.3863,Viti,Viti küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76912,59.4148,24.6017,Harkujärve,Harkujärve küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76912,59.4179,24.5779,Tiskre,Tiskre küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76916,59.4222,24.5844,Tiskre,Tiskre küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76917,59.406,24.3981,Vaila,Vaila küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76918,59.3807,24.4504,Vahi,Vahi küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76919,59.4107,24.3514,Naage,Naage küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76920,59.4032,24.3675,Naage,Naage küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76921,59.4184,24.4234,Liikva,Liikva küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76922,59.4074,24.5743,Laabi,Laabi küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76923,59.43,24.6021,Harkujärve,Harkujärve küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76924,59.4352,24.5684,Tiskre,Tiskre küla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
76925,59.4561,24.4776,Meriküla,Meriküla,Harku vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74114,59.4923,25.0077,Uusküla,Uusküla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74114,59.4888,25.0329,Kallavere,Kallavere küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74114,59.4465,24.9711,Liivamäe,Liivamäe küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74115,59.4981,25.0235,Kallavere,Kallavere küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74120,59.4818,24.9961,Uusküla,Uusküla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74121,59.4832,25.0415,Kallavere,Kallavere küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74122,59.5008,25.045,Saviranna,Saviranna küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74201,59.4331,24.9464,Loo,Loo alevik,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74202,59.4469,25.1312,Jõelähtme,Jõelähtme küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74203,59.5127,25.1867,Ihasalu,Ihasalu küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74204,59.4289,25.0958,Kostivere,Kostivere alevik,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74205,59.4187,25.2289,Jägala,Jägala küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74206,59.4564,24.9142,Iru,Iru küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74207,59.439,24.9662,Liivamäe,Liivamäe küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74208,59.4416,24.921,Nehatu,Nehatu küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74209,59.418,24.9967,Saha,Saha küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74210,59.4307,25.0254,Maardu,Maardu küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74211,59.5178,25.2719,Kaberneeme,Kaberneeme küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
74212,59.4541,25.1772,Jägala-Joa,Jägala-Joa küla,Jõelähtme vald,Harju maakond,Estonia,EE,Europe/Tallinn,UTC +2.0
