postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_name,country_code,timezone,utc
42111,31.120935,32.182525,Port Said,Port Said,Qesm El Ganob,El Ganob,Egypt,EG,Africa/Cairo,UTC +2.0
84711,26.5891915,33.4285574,Red Sea,Safaga,Qesm Safaga,El Nasr - Km 85 Safaga Road - Qena,Egypt,EG,Africa/Cairo,UTC +2.0
83729,25.900308,32.777964,Qena,Qous,Markaz Qous,El Meari,Egypt,EG,Africa/Cairo,UTC +2.0
11774,30.08768,31.309,Cairo,Cairo,Qesm Heliopolis,Manshiat El Bakry,Egypt,EG,Africa/Cairo,UTC +2.0
22728,30.65553,29.883153,El Behera,New El Nobaria,Qesm Gharb El Nobaria - El Kharegeen Village,Hussein Abo El Yousr,Egypt,EG,Africa/Cairo,UTC +2.0
41111,30.483177,32.17859,El Ismailia,El Ismailia,Desert of Abo Sower Center,Desert of Abo Sower Center,Egypt,EG,Africa/Cairo,UTC +2.0
32881,30.463318,30.904878,El Menoufia,Menouf,Markaz Menouf,Monshat Ghamrin,Egypt,EG,Africa/Cairo,UTC +2.0
11371,30.048137,31.312747,Cairo,Cairo,Qesm 2nd Nasser City,Nady El Saka El Hadid,Egypt,EG,Africa/Cairo,UTC +2.0
51714,28.06794,27.736709,Giza,El Wahat El Bahariya,Desert of El Wahat El Bahariya,,Egypt,EG,Africa/Cairo,UTC +2.0
22762,30.6392519,30.4306418,El Behera,El Delengat,Markaz El Delengat,El Bostan Qebly El Nobaria,Egypt,EG,Africa/Cairo,UTC +2.0
46511,28.275356,30.741228,El Menia,Samalot,Markaz Samalot,Dair Gabal El Teir,Egypt,EG,Africa/Cairo,UTC +2.0
13713,30.342832,31.1832321,Qalyubia,Tokh,Markaz Tokh,Kfour Abed,Egypt,EG,Africa/Cairo,UTC +2.0
63753,29.404518,30.744965,El Faiyum,Snors,Markaz Snors,Monshat El Dakam,Egypt,EG,Africa/Cairo,UTC +2.0
22841,30.895328,30.502476,El Behera,El Delengat,Markaz El Delengat,El Hagar El Mahrok,Egypt,EG,Africa/Cairo,UTC +2.0
63723,29.244877,30.679986,El Faiyum,Atsa,Markaz Atsa,Abo Gandir,Egypt,EG,Africa/Cairo,UTC +2.0
