postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_name,country_code,timezone,utc
180 10,37.746801,23.426768,Attica,,,,Greece,GR,Europe/Athens,UTC +2.0
180 20,37.497422,23.4465,Attica,,,,Greece,GR,Europe/Athens,UTC +2.0
180 30,37.581233,23.390201,Attica,,,,Greece,GR,Europe/Athens,UTC +2.0
180 40,37.349698,23.465947,Attica,,,,Greece,GR,Europe/Athens,UTC +2.0
180 50,37.268595,23.154245,Attica,,,,Greece,GR,Europe/Athens,UTC +2.0
181 20,37.9771913,23.6504507,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
181 21,37.9855328,23.6530832,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
181 22,37.998512,23.6434735,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
182 33,37.9653871,23.6636066,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
183 44,37.9439641,23.6775184,Attica,South Athens,,,Greece,GR,Europe/Athens,UTC +2.0
183 45,37.951708,23.680857,Attica,South Athens,,,Greece,GR,Europe/Athens,UTC +2.0
183 46,37.9588665,23.6862278,Attica,South Athens,,,Greece,GR,Europe/Athens,UTC +2.0
184 50,37.9660075,23.6494535,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
184 51,37.9714977,23.6364434,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
184 52,37.9848933,23.631538,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
184 53,37.968175,23.643535,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
184 54,37.9729533,23.6611106,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
185 00,37.9474978,23.6415988,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 31,37.945899,23.6443353,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 32,37.9455826,23.6513474,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 33,37.9384106,23.6592913,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 34,37.9443453,23.6537234,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 35,37.9429192,23.6469323,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 36,37.93625,23.6455637,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 37,37.9348351,23.6408023,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 38,37.9340413,23.635552,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 39,37.9300584,23.6337313,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 40,37.9521058,23.6478035,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 41,37.9546258,23.6605191,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 42,37.9630692,23.6540442,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 43,37.9561262,23.6444929,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 44,37.9599745,23.638712,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 45,37.9518562,23.641189,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 46,37.9640351,23.6322163,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
185 47,37.9468514,23.6690962,Attica,Piraeus,Piraeus,,Greece,GR,Europe/Athens,UTC +2.0
186 48,37.9476642,23.6272122,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
187 55,37.9576841,23.6263887,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
187 56,37.9599249,23.626184,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
187 57,37.9662569,23.6278857,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
187 58,37.9780597,23.6199838,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
188 63,37.966081,23.57224,Attica,Piraeus,,,Greece,GR,Europe/Athens,UTC +2.0
189 00,37.964215,23.496446,Attica,,,,Greece,GR,Europe/Athens,UTC +2.0
