postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_en,country_code,timezone,utc
F12,53.7939,-8.9196,Knock,Connacht,Mayo,Mayo,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
F23,53.85,-9.3,Castlebar,Connacht,Mayo,Mayo,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
F26,54.1167,-9.1667,Ballina,Connacht,Mayo,Mayo,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
F28,53.8,-9.5167,Westport,Connacht,Mayo,Mayo,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
F31,53.6333,-9.2333,Ballinrobe,Connacht,Mayo,Mayo,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
F35,53.7667,-8.7667,Ballyhaunis,Connacht,Mayo,Mayo,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
F42,53.6333,-8.1833,Roscommon,Connacht,Roscommon,Roscommon,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
F45,53.7667,-8.5,Castlerea,Connacht,Roscommon,Roscommon,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
F52,53.9667,-8.3,Boyle,Connacht,Roscommon,Roscommon,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
F56,54.0833,-8.5167,Ballymote,Connacht,Sligo,Sligo,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
F91,54.2697,-8.4694,Sligo,Connacht,Sligo,Sligo,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
H53,53.3275,-8.2194,Ballinasloe,Connacht,Galway,Galway,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
H54,53.5167,-8.85,Tuam,Connacht,Galway,Galway,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
H62,53.1969,-8.5669,Loughrea,Connacht,Galway,Galway,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
H65,53.2964,-8.7431,Athenry,Connacht,Galway,Galway,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
H71,53.4891,-10.0191,Clifden,Connacht,Galway,Galway,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
H91,53.2719,-9.0489,Galway,Connacht,Galway,Galway,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
N41,53.9469,-8.09,Carrick On Shannon,Connacht,Leitrim,Leitrim,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A41,53.5195,-6.2667,Ballyboughal,Leinster,Dublin,Fingal,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A42,53.5661,-6.3856,Garristown,Leinster,Dublin,Fingal,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A45,53.5253,-6.3156,Oldtown,Leinster,Dublin,Fingal,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A63,53.1408,-6.0631,Greystones,Leinster,Wicklow,Wicklow,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A67,52.975,-6.0494,Wicklow,Leinster,Wicklow,Wicklow,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A82,53.7264,-6.8792,Kells,Leinster,Meath,Meath,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A83,53.4142,-6.8323,Enfield,Leinster,Meath,Meath,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A84,53.5116,-6.3982,Ashbourne,Leinster,Meath,Meath,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A85,53.5125,-6.54,Dunshaughlin,Leinster,Meath,Meath,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A86,53.4,-6.4667,Dunboyne,Leinster,Meath,Meath,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A91,54.0,-6.4167,Dundalk,Leinster,Louth,Louth,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A92,53.7189,-6.3478,Drogheda,Leinster,Louth,Louth,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A94,53.3015,-6.1778,Blackrock,Leinster,Dublin,Dun Laoghaire-Rathdown,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
A96,53.294,-6.1359,Dun Laoghaire,Leinster,Dublin,Dun Laoghaire-Rathdown,Republic of Ireland,IE,Europe/Dublin,UTC +0.0
