postcode,latitude,longitude,region_2_en,region_1_en,country_en,country_code,timezone,utc
744301,9.1167,92.8,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744301,9.2333,92.7833,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744301,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744301,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744301,7.5166,93.6031,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744302,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744302,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744302,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744302,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744302,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744302,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744303,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744303,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744303,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744303,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744303,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744304,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744304,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744304,9.1833,92.7667,Nicobar,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744201,12.7167,92.9,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744201,12.7167,92.9,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744201,12.7167,92.9,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744201,12.7167,92.9,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.1553,92.8778,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.211,92.9389,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.211,92.9389,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.211,92.9389,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.211,92.9389,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.211,92.9389,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.211,92.9389,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.211,92.9389,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.211,92.9389,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.211,92.9389,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.211,92.9389,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744202,13.2667,93.0,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744203,12.6435,92.8794,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744204,12.6435,92.8794,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744204,12.6435,92.8794,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744204,12.6435,92.8794,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744204,12.6435,92.8794,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744204,12.6435,92.8794,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744205,12.5,92.9,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744205,12.506,92.9155,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744205,12.503,92.9077,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744205,12.503,92.9077,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744205,12.503,92.9077,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744205,12.503,92.9077,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744205,12.503,92.9077,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744209,12.6435,92.8794,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744209,12.6435,92.8794,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744210,12.1853,92.7718,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744210,12.1853,92.7718,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744210,12.1853,92.7718,North And Middle Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744101,11.6647,92.7026,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744101,11.6647,92.7026,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744101,11.6647,92.7026,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744102,11.6833,92.7167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744102,11.6833,92.7167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
781311,26.4409,91.1576,Barpeta,Assam,India,IN,Asia/Kolkata,UTC +5.5
744102,11.6833,92.7167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744102,11.6833,92.7167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744103,11.7167,92.6167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744103,11.7167,92.6167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744103,11.7167,92.6167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744103,11.7167,92.6167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744103,11.7167,92.6167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744103,11.7167,92.6167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744103,11.7167,92.6167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744103,11.7167,92.6167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744103,11.7167,92.6167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744103,11.7167,92.6167,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744104,11.6647,92.7026,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744104,11.6647,92.7026,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744104,11.6647,92.7026,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744105,11.6,92.7333,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744105,11.6,92.7333,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744105,11.6,92.7333,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744105,11.6,92.7333,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744105,11.6,92.7333,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744105,11.6,92.7333,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744105,11.6,92.7333,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744106,11.6588,92.7438,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744107,11.6647,92.7026,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744107,11.6647,92.7026,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744112,11.6647,92.7026,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744206,11.7167,92.6833,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744206,11.7167,92.6833,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744206,11.7167,92.6833,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744206,11.7167,92.6833,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744206,11.7167,92.6833,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744206,11.7167,92.6833,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744206,11.7167,92.6833,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744206,11.7167,92.6833,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744206,11.7167,92.6833,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744206,11.7167,92.6833,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744207,11.5179,92.6486,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744207,11.5179,92.6486,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744207,11.5179,92.6486,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744207,11.5179,92.6486,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
744211,11.5179,92.6486,South Andaman,Andaman & Nicobar Islands,India,IN,Asia/Kolkata,UTC +5.5
