country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Jordan,Jordan,JO,11100,,,محافظة العاصمة,Amman,القصور الملكية,Al Qusur Al Malakiah, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11101,,,محافظة العاصمة,Amman,بيت البرلمان,Parliament House, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11104,,,محافظة العاصمة,Amman,مطار الملكة علياء,Queen Alia Airport, Asia/Amma,UTC +3.0 ,31.7216982,35.9964563
Jordan,Jordan,JO,11115,,,محافظة العاصمة,Amman,المهاجرين,Al Muhajireen, Asia/Amma,UTC +3.0 ,31.9463103,35.9251545
Jordan,Jordan,JO,11118,,,محافظة العاصمة,Amman,وسط مدينة عمان,Amman City Center, Asia/Amma,UTC +3.0 ,31.9800739,35.8366624
Jordan,Jordan,JO,11118,,,محافظة العاصمة,Amman,جبل القلعة,Jabal Al Qalaa, Asia/Amma,UTC +3.0 ,31.9526634,35.9354185
Jordan,Jordan,JO,11120,,,محافظة العاصمة,Amman,الهاشمي الجنوبي,Al Hashmi Al Janoubi, Asia/Amma,UTC +3.0 ,31.9620247,35.9528258
Jordan,Jordan,JO,11121,,,محافظة العاصمة,Amman,جبل الحسين,Jabal AlHussein, Asia/Amma,UTC +3.0 ,31.9674446,35.9177805
Jordan,Jordan,JO,11122,,,محافظة العاصمة,Amman,جبل القصور,Jabal Al Qusur, Asia/Amma,UTC +3.0 ,31.9543163,35.9365046
Jordan,Jordan,JO,11122,,,محافظة العاصمة,Amman,وادي الحداده,Wadi Al Hidadah, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11123,,,محافظة العاصمة,Amman,الهاشمي الشمالي,Al Hashmi Al Shamali, Asia/Amma,UTC +3.0 ,31.9701589,35.9589407
Jordan,Jordan,JO,11131,,,محافظة العاصمة,Amman,المحطة,Al Mahattah, Asia/Amma,UTC +3.0 ,31.991481,36.0030164
Jordan,Jordan,JO,11131,,,محافظة العاصمة,Amman,رغدان,Raghadan, Asia/Amma,UTC +3.0 ,31.9801045,35.954005
Jordan,Jordan,JO,11133,,,محافظة العاصمة,Amman,د. الأميرة علياء,D. Al Ameerah Alia, Asia/Amma,UTC +3.0 ,31.7227291,35.9864691
Jordan,Jordan,JO,11133,,,محافظة العاصمة,Amman,حي التقوى,Hai Al Taqwa, Asia/Amma,UTC +3.0 ,31.8658253,35.9796273
Jordan,Jordan,JO,11134,,,محافظة العاصمة,Amman,عين غزال,Ain Ghazal, Asia/Amma,UTC +3.0 ,31.9987934,35.9802504
Jordan,Jordan,JO,11134,,,محافظة العاصمة,Amman,ماركا الشمالية,Marka Al Shamaliyah, Asia/Amma,UTC +3.0 ,31.977931,35.98033
Jordan,Jordan,JO,11136,,,محافظة العاصمة,Amman,إسكان اليوبيل,Eskan Al Yubeel, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11140,,,محافظة العاصمة,Amman,جبل الناصر,Jabal Al Naser, Asia/Amma,UTC +3.0 ,31.9605156,35.9639208
Jordan,Jordan,JO,11141,,,محافظة العاصمة,Amman,جبل التاج,Jabal Al Taj, Asia/Amma,UTC +3.0 ,31.9493508,35.9502445
Jordan,Jordan,JO,11142,,,محافظة العاصمة,Amman,حي هملان,Hai Hamlan, Asia/Amma,UTC +3.0 ,31.9868635,36.0173125
Jordan,Jordan,JO,11143,,,محافظة العاصمة,Amman,حي المنارة,Hai Al Manara, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11145,,,محافظة العاصمة,Amman,جبل الجوفة,Jabal Al-jofah, Asia/Amma,UTC +3.0 ,31.9535927,35.9516023
Jordan,Jordan,JO,11151,,,محافظة العاصمة,Amman,اليرموك,Al Yarmouk, Asia/Amma,UTC +3.0 ,31.9402521,35.9510388
Jordan,Jordan,JO,11151,,,محافظة العاصمة,Amman,جبل الأشرفية,Jabal Al Ashrafiyeh, Asia/Amma,UTC +3.0 ,31.961373,35.9534241
Jordan,Jordan,JO,11151,,,محافظة العاصمة,Amman,وادي السرور,Wadi Al Suroor, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11152,,,محافظة العاصمة,Amman,الوحدات,Alwehdat, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11152,,,محافظة العاصمة,Amman,أم نوارة,Um Nowarah, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11161,,,محافظة العاصمة,Amman,جبل النظيف,Jabal Al Natheef, Asia/Amma,UTC +3.0 ,31.9543163,35.9365046
Jordan,Jordan,JO,11162,,,محافظة العاصمة,Amman,الزهور,Azzuhour, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11162,,,محافظة العاصمة,Amman,حي الشعيلية,Hai Al Sheailiyah, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11163,,,محافظة العاصمة,Amman,رأس العين,Ras Al-Ain, Asia/Amma,UTC +3.0 ,31.9394742,35.9259604
Jordan,Jordan,JO,11171,,,محافظة العاصمة,Amman,جبل الأخضر,Jabal Al Akhdar, Asia/Amma,UTC +3.0 ,31.9406282,35.916778
Jordan,Jordan,JO,11171,,,محافظة العاصمة,Amman,حي نزال,Hai Nazzal, Asia/Amma,UTC +3.0 ,31.9321542,35.9120142
Jordan,Jordan,JO,11180,,,محافظة العاصمة,Amman,إنتركونتيننتال الأردن,Intercontinental Jordan, Asia/Amma,UTC +3.0 ,31.953314,35.913148
Jordan,Jordan,JO,11180,,,محافظة العاصمة,Amman,جبل عمان,Jabal Amman, Asia/Amma,UTC +3.0 ,31.9515589,35.9156256
Jordan,Jordan,JO,11181,,,محافظة العاصمة,Amman,المهاجرين,Al Mohajrean, Asia/Amma,UTC +3.0 ,31.9481153,35.910627
Jordan,Jordan,JO,11181,,,محافظة العاصمة,Amman,الرجوم,Al Rjoum, Asia/Amma,UTC +3.0 ,31.9522138,35.9277006
Jordan,Jordan,JO,11181,,,محافظة العاصمة,Amman,دير غبار,Deir Ghbar, Asia/Amma,UTC +3.0 ,31.9378686,35.8559066
