postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
63000,33.9626,126.2965,추자면,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63001,33.9469,126.3247,추자면,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63002,33.3453,126.1878,한경면,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63003,33.3592,126.203,한경면,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63004,33.3349,126.2293,한경면,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63005,33.33,126.2617,한경면,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63006,33.3132,126.2507,한경면,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63007,33.2997,126.2287,한경면,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63008,33.3024,126.1825,한경면,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63009,33.327,126.1738,한경면,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63010,33.3848,126.2251,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63011,33.3955,126.2443,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63012,33.4034,126.2542,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63013,33.4053,126.2639,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63014,33.3864,126.2732,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63015,33.3804,126.2533,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63016,33.3625,126.242,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63017,33.3493,126.2566,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63018,33.3593,126.2723,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63019,33.3588,126.2954,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63020,33.3452,126.3044,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63021,33.3601,126.3203,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63022,33.4,126.2928,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63023,33.4286,126.2677,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63024,33.44,126.2886,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63025,33.4226,126.2946,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63026,33.423,126.2784,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63027,33.4103,126.2787,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63028,33.4127,126.2704,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63029,33.4134,126.2666,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63030,33.4183,126.2657,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63031,33.4193,126.2637,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63032,33.4127,126.2623,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63033,33.406,126.2293,한림읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63034,33.4446,126.3075,애월읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63035,33.4355,126.3317,애월읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63036,33.4506,126.3501,애월읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63037,33.4281,126.3812,애월읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63038,33.4072,126.3387,애월읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63039,33.4155,126.3158,애월읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63040,33.3474,126.3837,애월읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
63041,33.3834,126.3769,애월읍,제주시,제주특별자치도,South Korea,KR,Asia/Seoul,UTC +9.0
