postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_en,country_code,timezone,utc
20000,7.2955,80.6356,Kandy,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20032,7.2031,80.3386,Halloluwa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20034,7.2932,80.5982,Yatihalagala,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20042,7.3154,80.5887,lhala Kobbekaduwa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20044,7.3154,80.5887,Sangarajapura,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20048,7.3154,80.5887,Kulugammana,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20052,7.3637,80.4845,Uduwa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20060,7.3369,80.4658,Hataraliyadda,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20062,7.3686,80.4672,Aludeniya,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20068,7.3353,80.4313,Dedunupitiya,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20072,7.3333,80.6,Nugawela,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20080,7.3167,80.5833,Werellagama,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20084,7.3373,80.5663,Pallekotuwa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20086,7.358,80.5493,Kumburegama,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20092,7.4012,80.5289,Harankahawa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20094,7.4012,80.5289,Udahingulwala,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20095,7.4012,80.5289,Gallellagama,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20100,7.373,80.5206,Galagedara,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20106,7.3472,80.5208,Poholiyadda,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20108,7.3526,80.5147,Wettawa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20109,7.3376,80.5026,Minigamuwa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20112,7.3742,80.586,Pujapitiya,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20118,7.3742,80.586,Pattiya Watta,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20120,7.3449,80.6814,Medawala Harispattuwa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20126,7.3899,80.5794,Dolapihilla,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20128,7.3,80.7833,Rambukwella,Central Province,Kandy,Medadumbara,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20132,7.362,80.5891,Batugoda,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20134,7.356,80.6051,Watagoda Harispattuwa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20136,7.3501,80.6211,Ambatenna,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20140,7.4042,80.6087,Alawatugoda,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20142,7.4042,80.6087,Wilanagama,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20150,7.4333,80.5667,Ankumbura,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20152,7.4162,80.5639,Galhinna,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
