postcode,x,y,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
6830,49.7313,6.3933,Berbourg,Manternach,Grevenmacher,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8012,49.6225,6.0658,Strassen,Strassen,Luxembourg,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4968,49.5789,5.9571,Schouweiler,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4970,49.5764,5.9949,Bettange-sur-Mess,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4970,49.585,5.9726,Sprinkange,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4971,49.5709,5.995,Bettange-sur-Mess,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4972,49.5878,5.9781,Dippach,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4973,49.5881,5.9897,Dippach,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4974,49.5879,5.9857,Dippach,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4975,49.5745,5.987,Bettange-sur-Mess,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4976,49.5743,5.9812,Bettange-sur-Mess,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4977,49.5741,5.9848,Bettange-sur-Mess,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4994,49.585,5.9659,Sprinkange,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4994,49.5823,5.959,Schouweiler,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4995,49.5793,5.9505,Schouweiler,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4996,49.5811,5.9546,Schouweiler,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4997,49.5859,5.9553,Schouweiler,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4998,49.5835,5.9665,Sprinkange,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4998,49.5815,5.962,Schouweiler,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4999,49.5797,5.96,Schouweiler,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
4999,49.5775,5.9613,Sprinkange,Dippach,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8350,49.6174,5.955,Garnich,Garnich,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8351,49.5977,5.9446,Dahlem,Garnich,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8352,49.5995,5.9477,Dahlem,Garnich,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8353,49.616,5.9522,Garnich,Garnich,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8354,49.6176,5.9507,Garnich,Garnich,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8355,49.6132,5.9528,Garnich,Garnich,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8356,49.6154,5.9476,Garnich,Garnich,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8369,49.6055,5.9281,Hivange,Garnich,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8376,49.6326,5.9166,Kahler,Garnich,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8370,49.6952,5.9167,Hobscheid,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8371,49.6825,5.9185,Hobscheid,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8372,49.6871,5.9146,Hobscheid,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8373,49.6892,5.921,Hobscheid,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8374,49.6877,5.9114,Hobscheid,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8375,49.695,5.9183,Hobscheid,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8460,49.681,5.8778,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8461,49.6831,5.8752,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8462,49.6839,5.8747,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8463,49.6871,5.8767,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8464,49.6838,5.8765,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8465,49.6838,5.8779,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8466,49.6875,5.8797,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8467,49.6852,5.8779,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8468,49.6832,5.8666,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8469,49.6895,5.8776,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8470,49.6848,5.8766,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8471,49.6833,5.8814,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8472,49.6846,5.8775,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8473,49.6872,5.882,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8474,49.6852,5.8759,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8475,49.6912,5.8795,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8476,49.6828,5.8793,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8477,49.6847,5.8714,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8478,49.6828,5.8705,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8479,49.68,5.8766,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8480,49.6827,5.882,Eischen,Hobscheid,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
7423,49.6893,6.0308,Dondelange,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8198,49.6815,6.0859,Direndall,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8199,49.6572,6.0674,Weidendall,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8274,49.6697,6.0304,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8280,49.6656,6.0348,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8281,49.6669,6.0319,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8282,49.6696,6.0343,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8283,49.6707,6.0376,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8284,49.6677,6.038,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8285,49.6654,6.0373,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8286,49.6684,6.04,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8287,49.6628,6.0162,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8288,49.6647,6.0358,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8289,49.6659,6.031,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8290,49.6566,6.049,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8291,49.6904,6.0577,Meispelt,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8292,49.6933,6.0604,Meispelt,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8293,49.6962,6.0681,Keispelt,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8294,49.6916,6.0695,Keispelt,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8295,49.6891,6.0624,Keispelt,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8295,49.6783,6.043,Kehlen,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8296,49.6503,5.987,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8297,49.6486,5.9844,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8298,49.6496,5.9841,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8312,49.6458,5.9947,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8315,49.6461,5.996,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8316,49.6453,5.9959,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8317,49.6465,5.9979,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8319,49.6484,5.99,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8321,49.6492,5.9937,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8322,49.6485,5.9918,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8323,49.6453,5.9933,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8324,49.6493,5.9946,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8327,49.6457,5.9973,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8332,49.6481,5.9935,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8333,49.6475,5.9939,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8338,49.6459,5.9938,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8339,49.6461,5.9929,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8340,49.6487,5.9931,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8341,49.6463,5.9918,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8342,49.6483,5.991,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8343,49.6491,5.9928,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
8344,49.6481,5.9956,Olm,Kehlen,Capellen,Luxembourg,LU,Europe/Luxembourg,UTC+01:00
