postcode,x,y,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
4574,56.818,27.3056,Žogi,Krišjāņu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
3264,57.5484,22.7018,Dūmele,Dundagas Parish,Talsu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.1016,27.1878,Reči,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
5101,56.6448,25.2299,Aizkraukle,Aizkraukles Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5101,56.6048,25.2553,Aizkraukles stacija,Aizkraukles Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5134,56.4587,25.4858,Jaunjelgavas,Jaunjelgavas Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5111,56.4782,25.2189,Daudzeva,Daudzeses Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5111,56.4782,25.2189,Daudzese,Daudzeses Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5124,56.6114,25.3608,Sece,Seces Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5124,56.6114,25.3608,Ziedāni,Seces Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5124,56.6114,25.3608,Purviņi,Seces Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5124,56.6114,25.3608,Bitāni,Seces Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5123,56.6121,25.4802,Sērene,Sērenes Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5123,56.6121,25.4802,Dīķi,Sērenes Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5123,56.6121,25.4802,Mellēni,Sērenes Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5123,56.6121,25.4802,Talsiņi,Sērenes Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
5123,56.6121,25.4802,Lielziedi,Sērenes Parish,Aizkraukles novads,Latvia,LV,Europe/Riga,UTC +2.0
