postcode,latitude,longitude,region_2_en,region_1_en,country_en,country_code,timezone,utc
60224,19.4528,-101.9806,Uruapan,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
60233,19.3931,-102.0958,Uruapan,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
60235,19.3469,-102.0857,Uruapan,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
60236,19.4437,-102.1057,Uruapan,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
60237,19.2411,-102.1074,Uruapan,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59160,20.1431,-102.6662,Venustiano Carranza,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59160,20.1013,-102.6746,Venustiano Carranza,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59165,20.1264,-102.6078,Venustiano Carranza,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59576,19.9505,-102.6116,Villamar,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59256,20.3277,-102.2875,Yurécuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59257,20.3359,-102.2924,Yurécuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59257,20.2992,-102.2194,Yurécuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59258,20.2992,-102.2194,Yurécuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
58676,19.8011,-101.7942,Zacapu,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
58720,19.8147,-101.8886,Zacapu,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
58733,19.7828,-101.7656,Zacapu,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59617,20.1489,-102.4569,Zamora,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59624,20.1753,-102.5253,Zamora,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59633,20.0378,-102.3081,Zamora,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59633,20.0378,-102.3081,Zamora,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59640,20.0378,-102.3081,Zamora,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
59640,20.0378,-102.3081,Zamora,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
58944,19.8969,-100.8244,Zinapécuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
58965,19.905,-100.6203,Zinapécuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
58966,19.8703,-100.6458,Zinapécuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
58966,19.8817,-100.6564,Zinapécuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
61508,19.5486,-100.4562,Zitácuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
61524,19.4817,-100.2731,Zitácuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
61525,19.45,-100.2897,Zitácuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
61526,19.4783,-100.3356,Zitácuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
61527,19.4695,-100.3734,Zitácuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
61536,19.3222,-100.3764,Zitácuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
61536,19.3619,-100.3783,Zitácuaro,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
58542,20.2925,-101.6314,José Sixto Verduzco,Michoacán de Ocampo,Mexico,MX,America/Mexico_City,UTC -6.0
62643,18.59,-99.3867,Amacuzac,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62844,18.9242,-98.8964,Atlatlahucan,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62846,18.9135,-98.8998,Atlatlahucan,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62962,18.6042,-98.7203,Axochiapan,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62965,18.5603,-98.7762,Axochiapan,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62723,18.6489,-98.9469,Ayala,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62746,18.8312,-98.9571,Cuautla,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62755,18.8219,-98.9739,Cuautla,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62757,18.8662,-98.9325,Cuautla,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62030,18.901,-99.2475,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62076,18.8949,-99.2241,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62116,18.9888,-99.2538,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62130,18.9626,-99.258,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62243,18.952,-99.2243,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62293,18.9468,-99.2154,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62294,18.9556,-99.216,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62340,18.9527,-99.2121,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62420,18.9224,-99.2212,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62450,18.9183,-99.2156,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62460,18.9127,-99.1987,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62490,18.8922,-99.1611,Cuernavaca,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62765,18.8443,-99.1944,Emiliano Zapata,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62766,18.8272,-99.1824,Emiliano Zapata,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62510,19.0213,-99.2494,Huitzilac,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62550,18.8834,-99.1708,Jiutepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62553,18.8848,-99.1812,Jiutepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62555,18.8633,-99.1745,Jiutepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62564,18.8578,-99.1457,Jiutepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62633,18.7334,-99.3648,Mazatepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62855,18.8833,-98.7533,Ocuituco,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62855,18.8989,-98.7633,Ocuituco,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62676,18.6331,-99.2803,Puente de Ixtla,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62697,18.5776,-99.2971,Puente de Ixtla,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62927,18.6392,-98.9594,Tepalcingo,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62520,18.9955,-99.0809,Tepoztlán,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62626,18.6842,-99.4411,Tetecala,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62804,18.9055,-98.7081,Tetela del Volcán,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62980,18.6553,-99.1542,Tlaquiltenango,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62833,18.9731,-98.9042,Totolapan,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62793,18.7959,-99.2045,Xochitepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62732,18.8867,-99.0772,Yautepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62732,18.8901,-99.0605,Yautepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62737,18.8872,-99.0242,Yautepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62738,18.9164,-98.9884,Yautepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62738,18.9164,-98.9884,Yautepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62738,18.9289,-98.9703,Yautepec,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
62823,18.9122,-98.8139,Yecapixtla,Morelos,Mexico,MX,America/Mexico_City,UTC -6.0
63400,22.481,-105.3787,Acaponeta,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63413,22.5424,-105.393,Acaponeta,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63905,21.0521,-104.5177,Ahuacatlán,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63702,21.322,-104.948,Compostela,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63708,21.1962,-105.1404,Compostela,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63708,21.2754,-105.0811,Compostela,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63713,21.1561,-105.1203,Compostela,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63720,21.2118,-105.092,Compostela,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63494,22.8377,-105.0798,Huajicori,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63947,21.1635,-104.2846,Ixtlán del Río,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63957,21.0334,-104.3069,Ixtlán del Río,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63880,21.1841,-104.3993,Jala,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63894,21.1125,-104.3156,Jala,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63787,21.3648,-104.9128,Xalisco,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63787,21.3648,-104.9128,Xalisco,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63794,21.3648,-104.9128,Xalisco,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63533,22.2528,-104.5106,Del Nayar,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63533,22.2425,-104.4292,Del Nayar,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
63534,22.0193,-104.6573,Del Nayar,Nayarit,Mexico,MX,America/Mazatlan,UTC -7.0
