country_lc,country_en,country_code,postal_code,pc_main,pc_sub,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
The Netherlands,The Netherlands,NL,1011 AB,1011,AB,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.377764,4.9056757
The Netherlands,The Netherlands,NL,1011 AC,1011,AC,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3774286,4.9083046
The Netherlands,The Netherlands,NL,1011 AD,1011,AD,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3767871,4.9046835
The Netherlands,The Netherlands,NL,1011 AE,1011,AE,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3754152,4.907486
The Netherlands,The Netherlands,NL,1011 AG,1011,AG,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3758711,4.9029178
The Netherlands,The Netherlands,NL,1011 AH,1011,AH,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3756873,4.9029288
The Netherlands,The Netherlands,NL,1011 AJ,1011,AJ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3754327,4.902828
The Netherlands,The Netherlands,NL,1011 AK,1011,AK,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3746467,4.9038792
The Netherlands,The Netherlands,NL,1011 AL,1011,AL,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3688239,4.9019824
The Netherlands,The Netherlands,NL,1011 AM,1011,AM,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3741588,4.9048406
The Netherlands,The Netherlands,NL,1011 AN,1011,AN,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3740258,4.9050521
