postcode,latitude,longitude,region_2_en,region_1_en,country_en,country_code,timezone,utc
1300,59.8979,10.4906,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1301,59.8979,10.4906,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1302,59.8979,10.4906,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1303,59.8979,10.4906,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1304,59.8979,10.4906,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1305,59.9149,10.5563,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1306,59.8979,10.4906,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1307,59.9005,10.6245,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1308,59.928,10.6161,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1309,59.9091,10.4957,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1311,59.8886,10.5535,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1312,59.884,10.4887,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1313,59.9085,10.4739,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1314,59.9085,10.4739,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1316,59.9478,10.6182,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1317,59.9418,10.5131,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1318,59.9198,10.577,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1319,59.9198,10.577,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1321,59.9095,10.6046,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1322,59.8994,10.5721,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1323,59.8994,10.5721,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1324,59.9088,10.629,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1325,59.9088,10.629,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1326,59.9088,10.629,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1327,59.9088,10.629,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
