postal_code,latitude,longitude,region_1_en,region_2_en,region_2_lc,country_en,country_code,timezone,utc
57000,27.187984,87.049844,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57001,27.174304,87.093478,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57002,27.356714,87.135946,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57003,27.175733,87.040504,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57004,27.174304,87.093478,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57005,27.188455,87.182441,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57006,27.089688,87.152993,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57008,27.174304,87.093478,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57009,27.174304,87.093478,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57010,27.152096,86.978711,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57011,27.174304,87.093478,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57012,26.987663,87.117315,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57013,27.174304,87.093478,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57014,27.179933,87.135242,Province 1,Bhojpur,भोजपुर,Nepal,NP,Asia/Kathmandu,+05:45
57015,27.702187,85.462119,Province 1,Bhojpur,भक्तपुर,Nepal,NP,Asia/Kathmandu,+05:45
56800,26.980882,87.343853,Province 1,Dhankuta,धनकुटा,Nepal,NP,Asia/Kathmandu,+05:45
56801,26.972067,87.3436,Province 1,Dhankuta,धनकुटा,Nepal,NP,Asia/Kathmandu,+05:45
56802,26.879777,87.433345,Province 1,Dhankuta,धनकुटा,Nepal,NP,Asia/Kathmandu,+05:45
56803,26.972067,87.3436,Province 1,Dhankuta,धनकुटा,Nepal,NP,Asia/Kathmandu,+05:45
