postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
4150573,41.1496,-8.611,Porto,Porto,Porto,Portugal,PT,Europe/Lisbon,UTC+0
2080520,39.1755,-8.5693,Fazendas de Almeirim,Almeirim,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2080533,39.1755,-8.5693,Fazendas de Almeirim,Almeirim,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2080547,39.1755,-8.5693,Fazendas de Almeirim,Almeirim,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2080573,39.1755,-8.5693,Fazendas de Almeirim,Almeirim,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2080597,39.1755,-8.5693,Fazendas de Almeirim,Almeirim,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2080602,39.1755,-8.5693,Fazendas de Almeirim,Almeirim,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2080634,39.1755,-8.5693,Fazendas de Almeirim,Almeirim,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2080718,39.1098,-8.5803,Raposa,Almeirim,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2080719,39.1116,-8.5585,Vale do Inferno,Almeirim,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2090133,39.2571,-8.5819,Alpiarça,Alpiarça,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2090140,39.2571,-8.5819,Alpiarça,Alpiarça,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2090162,39.2571,-8.5819,Alpiarça,Alpiarça,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2090216,39.2653,-8.5865,Frade de Baixo,Alpiarça,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2090218,39.2653,-8.5865,Gouxa,Alpiarça,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2090311,39.2571,-8.5819,Reserva Natural Municipal,Alpiarça,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130051,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130056,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130059,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130133,38.8599,-8.7449,Santo Estevão,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130151,38.8599,-8.7449,Santo Estevão,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130175,38.95,-8.75,Barrosa,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130185,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130200,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130204,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130231,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130252,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130278,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130351,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2130373,38.9792,-8.8076,Benavente,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2135000,38.9371,-8.8718,Samora Correia,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2135038,38.9371,-8.8718,Samora Correia,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
2135045,38.9371,-8.8718,Samora Correia,Benavente,Santarém,Portugal,PT,Europe/Lisbon,UTC+0
