country_en,country_lc,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,Time Zone ,UTC,Y,X
Saudi Arabia  ,العربية السعودية,SA,22231,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,البغدادية الغربية,Al Baghdadiyah Al Gharbiyah,Arabia Standard Time,UTC+3,21.4986735,39.1762603
Saudi Arabia  ,العربية السعودية,SA,22232,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,البغدادية الغربية,Al Baghdadiyah Al Gharbiyah,Arabia Standard Time,UTC+3,21.4906717,39.1794212
Saudi Arabia  ,العربية السعودية,SA,22233,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,البلد,Al Balad,Arabia Standard Time,UTC+3,21.4889697,39.1844612
Saudi Arabia  ,العربية السعودية,SA,22234,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الشرفية,Al Sharafiyah,Arabia Standard Time,UTC+3,21.5090657,39.192489
Saudi Arabia  ,العربية السعودية,SA,22235,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,البغدادية الشرقية,Al Baghdadiyah Al Sharqiyah,Arabia Standard Time,UTC+3,21.4962596,39.1921834
Saudi Arabia  ,العربية السعودية,SA,22236,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,البلد,Al Balad,Arabia Standard Time,UTC+3,21.487898,39.1850913
Saudi Arabia  ,العربية السعودية,SA,22237,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,العمارية,Al Ammariyah,Arabia Standard Time,UTC+3,21.4895646,39.1932449
Saudi Arabia  ,العربية السعودية,SA,22238,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,البلد,Al Balad,Arabia Standard Time,UTC+3,21.483209,39.1925408
Saudi Arabia  ,العربية السعودية,SA,22241,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الفيحاء,Al Fayha,Arabia Standard Time,UTC+3,21.5101782,39.1971329
Saudi Arabia  ,العربية السعودية,SA,22242,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الكندرة,Al Kandarah,Arabia Standard Time,UTC+3,21.4911002,39.2058711
Saudi Arabia  ,العربية السعودية,SA,22243,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الفيحاء,Al Fayha,Arabia Standard Time,UTC+3,21.5108969,39.2071781
Saudi Arabia  ,العربية السعودية,SA,22244,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الفيحاء,Al Fayha,Arabia Standard Time,UTC+3,21.4964341,39.2146857
Saudi Arabia  ,العربية السعودية,SA,22245,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الفيحاء,Al Fayha,Arabia Standard Time,UTC+3,21.5070655,39.2158727
Saudi Arabia  ,العربية السعودية,SA,22246,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الفيحاء,Al Fayha,Arabia Standard Time,UTC+3,21.4906768,39.2255008
Saudi Arabia  ,العربية السعودية,SA,22251,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الفيحاء,Al Fayha,Arabia Standard Time,UTC+3,21.5085049,39.2231394
Saudi Arabia  ,العربية السعودية,SA,22252,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,جامعة الملك عبدالعزيز,King Abdulaziz University,Arabia Standard Time,UTC+3,21.4957112,39.2340014
Saudi Arabia  ,العربية السعودية,SA,22253,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,السليمانية,Al Sulaymaniyah,Arabia Standard Time,UTC+3,21.5083288,39.2462543
Saudi Arabia  ,العربية السعودية,SA,22254,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,جامعة الملك عبدالعزيز,King Abdulaziz University,Arabia Standard Time,UTC+3,21.4903991,39.266391
Saudi Arabia  ,العربية السعودية,SA,22261,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,ابرق الرغامة,Abruq Al Rughamah,Arabia Standard Time,UTC+3,21.5110527,39.2611423
Saudi Arabia  ,العربية السعودية,SA,22262,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,ابرق الرغامة,Abruq Al Rughamah,Arabia Standard Time,UTC+3,21.4957462,39.2783847
Saudi Arabia  ,العربية السعودية,SA,22263,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,ابرق الرغامة,Abruq Al Rughamah,Arabia Standard Time,UTC+3,21.5201142,39.2885789
Saudi Arabia  ,العربية السعودية,SA,22264,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,ابرق الرغامة,Abruq Al Rughamah,Arabia Standard Time,UTC+3,21.4981094,39.2823362
Saudi Arabia  ,العربية السعودية,SA,22271,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,مريخ,Mraykh,Arabia Standard Time,UTC+3,21.5261595,39.3050353
Saudi Arabia  ,العربية السعودية,SA,22272,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,ابرق الرغامة,Abruq Al Rughamah,Arabia Standard Time,UTC+3,21.499634,39.2967258
Saudi Arabia  ,العربية السعودية,SA,22273,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,مريخ,Mraykh,Arabia Standard Time,UTC+3,21.5251278,39.3121907
Saudi Arabia  ,العربية السعودية,SA,22274,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,ابرق الرغامة,Abruq Al Rughamah,Arabia Standard Time,UTC+3,21.4962442,39.3146025
Saudi Arabia  ,العربية السعودية,SA,22321,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الهنداوية,Al Hindawiyah,Arabia Standard Time,UTC+3,21.4735904,39.1840257
Saudi Arabia  ,العربية السعودية,SA,22322,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الثعالبة,Al Thaalibah,Arabia Standard Time,UTC+3,21.4650157,39.1852188
Saudi Arabia  ,العربية السعودية,SA,22323,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الهنداوية,Al Hindawiyah,Arabia Standard Time,UTC+3,21.4762962,39.1915875
Saudi Arabia  ,العربية السعودية,SA,22324,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الثعالبة,Al Thaalibah,Arabia Standard Time,UTC+3,21.4611778,39.1891763
Saudi Arabia  ,العربية السعودية,SA,22325,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,السبيل,Al Sabil,Arabia Standard Time,UTC+3,21.4855155,39.2040949
Saudi Arabia  ,العربية السعودية,SA,22331,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الثغر,Al Thaghr,Arabia Standard Time,UTC+3,21.4842263,39.2196151
Saudi Arabia  ,العربية السعودية,SA,22332,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,النزلة اليمانية,Al Nazlah Al Yamaniyah,Arabia Standard Time,UTC+3,21.4766833,39.2059049
Saudi Arabia  ,العربية السعودية,SA,22333,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,النزلة اليمانية,Al Nazlah Al Yamaniyah,Arabia Standard Time,UTC+3,21.4690498,39.2022636
Saudi Arabia  ,العربية السعودية,SA,22334,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,النزلة اليمانية,Al Nazlah Al Yamaniyah,Arabia Standard Time,UTC+3,21.4591547,39.2088589
Saudi Arabia  ,العربية السعودية,SA,22335,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,النزلة الشرقية,Al Nazlah Al Sharqiyah,Arabia Standard Time,UTC+3,21.4717248,39.2231253
Saudi Arabia  ,العربية السعودية,SA,22336,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,مدائن الفهد,Madain Al Fahd,Arabia Standard Time,UTC+3,21.4622049,39.2282009
Saudi Arabia  ,العربية السعودية,SA,22337,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,مدائن الفهد,Madain Al Fahd,Arabia Standard Time,UTC+3,21.4675777,39.2329611
