postal_code,latitude,longitude,region_1_en,region_1_lc,region_1_en.1,region_2_lc,region_2_en,region_3_lc,region_3_en,country_en,country_code,timezone,utc,country_name,country_name_en
624 66,57.9167,19.1333,Gotland,Gotlands Län,Gotland,Gotland,Gotland,Fårö,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
624 67,57.9167,19.1333,Gotland,Gotlands Län,Gotland,Gotland,Gotland,Fårö,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
749 50,59.6167,17.3667,Uppsala,Uppsala Län,,Enköping,,Ekolsund,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
734 94,59.5333,16.25,Västmanland,Västmanlands Län,Västmanland,Hallstahammar,,Strömsholm,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
132 20,59.3173,18.255,Stockholm,Stockholms Län,Stockholm,Nacka,,Saltsjö-boo,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
190 40,59.6352,17.9125,Stockholm,Stockholms Län,Stockholm,Sigtuna,,Stockholm-Arlanda,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
190 45,59.6352,17.9125,Stockholm,Stockholms Län,Stockholm,Sigtuna,,Stockholm-Arlanda,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
190 46,59.6352,17.9125,Stockholm,Stockholms Län,Stockholm,Sigtuna,,Stockholm-Arlanda,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
190 47,59.6352,17.9125,Stockholm,Stockholms Län,Stockholm,Sigtuna,,Stockholm-Arlanda,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
190 50,59.6352,17.9125,Stockholm,Stockholms Län,Stockholm,Sigtuna,,Stockholm-Arlanda,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
190 60,59.6352,17.9125,Stockholm,Stockholms Län,Stockholm,Sigtuna,,Stockholm-Arlanda,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
190 90,59.6352,17.9125,Stockholm,Stockholms Län,Stockholm,Sigtuna,,Stockholm-Arlanda,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
195 87,59.3326,18.0649,Stockholm,Stockholms Län,Stockholm,Stockholm,Stockholm,Stockholm,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
218 45,55.55,12.9667,Skåne,Skåne Län,Skåne,Malmö,Malmo,Vintrie,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
230 40,55.5833,13.2,Skåne,Skåne Län,Skåne,Svedala,,Bara,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
230 41,55.6,13.25,Skåne,Skåne Län,Skåne,Svedala,,Klågerup,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
230 53,55.6583,13.0833,Skåne,Skåne Län,Skåne,Lomma,,Alnarp,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
233 02,55.5833,13.2,Skåne,Skåne Län,Skåne,Svedala,,Bara,,Sweden,SE,Europe/Stockholm,UTC+01:00,Sverige,Sweden
