postcode,latitude,longitude,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
49800,38.7169,41.9765,Sarmaşik,Korkut,Muş,Turkey,TR,Europe/Istanbul,UTC+3
49700,38.6361,41.7695,Karakütük,Hasköy,Muş,Turkey,TR,Europe/Istanbul,UTC+3
49090,38.95,41.8167,Elçiler,Muş,Muş,Turkey,TR,Europe/Istanbul,UTC+3
49510,39.088,42.0525,Büngüldek,Bulanik,Muş,Turkey,TR,Europe/Istanbul,UTC+3
50400,38.7358,34.9309,Sarihidir,Ürgüp,Nevşehir,Turkey,TR,Europe/Istanbul,UTC+3
50900,38.7908,34.3139,Fakiuşaği,Gülşehir,Nevşehir,Turkey,TR,Europe/Istanbul,UTC+3
50800,38.8855,34.7062,Büyükkişla,Hacibektaş,Nevşehir,Turkey,TR,Europe/Istanbul,UTC+3
50800,38.9,34.5833,Kütükçü,Hacibektaş,Nevşehir,Turkey,TR,Europe/Istanbul,UTC+3
50800,39.0505,34.7737,Kayaalti,Hacibektaş,Nevşehir,Turkey,TR,Europe/Istanbul,UTC+3
52850,40.8022,37.7558,Uzunmahmut,Ulubey,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52750,41.0333,37.7833,Çerli,Perşembe,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52400,40.9325,37.3598,Geyikçeli,Fatsa,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52400,40.9625,37.4684,Yassitaş,Fatsa,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52410,40.9682,37.5695,İnönü,Fatsa,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52800,40.865,37.1766,Divanitürk,Kumru,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52900,40.5937,37.7649,Dursunlu,Mesudiye,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52900,40.5188,37.8929,Armutkolu,Mesudiye,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52700,40.7527,37.8918,Yeşilyurt,Korgan,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52300,41.0463,37.3146,Esenkale,Ünye,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52300,40.9297,37.433,Yenikent,Ünye,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52300,41.0034,37.3588,Sarihalil,Ünye,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52300,41.0308,37.2844,Üçpinar,Ünye,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52330,40.954,37.1446,Yenikizilcakese,Ünye,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52000,40.95,37.7,Karaoluk,Altinordu,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52010,40.9493,38.0871,Ayrilik,Gülyali,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52420,40.6564,37.5204,Karahasan,Çatalpinar,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
52500,40.6867,37.3992,Aybasti,Aybasti,Ordu,Turkey,TR,Europe/Istanbul,UTC+3
53540,40.9451,40.4206,Ormanli,Kalkandere,Rize,Turkey,TR,Europe/Istanbul,UTC+3
53690,40.7352,40.7618,Ortaköy,İkizdere,Rize,Turkey,TR,Europe/Istanbul,UTC+3
53690,40.65,40.4833,Eskice,İkizdere,Rize,Turkey,TR,Europe/Istanbul,UTC+3
53340,41.1119,40.926,Sivritepe,Pazar,Rize,Turkey,TR,Europe/Istanbul,UTC+3
53340,41.1364,40.9301,Irmakköy,Pazar,Rize,Turkey,TR,Europe/Istanbul,UTC+3
53480,41.1966,41.0853,Yurtsever,Ardeşen,Rize,Turkey,TR,Europe/Istanbul,UTC+3
53480,41.1063,41.0884,Sinan,Ardeşen,Rize,Turkey,TR,Europe/Istanbul,UTC+3
