country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,BALTASAR BRUM,BALTASAR BRUM,,,America/Montevideo,UTC-3.0,-30.5696471,-56.825717
Uruguay,Uruguay,UY,55100,ARTIGAS,ARTIGAS,BELLA UNION,BELLA UNION,,,America/Montevideo,UTC-3.0,-30.456453,-57.516442
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,BERNABE RIVERA,BERNABE RIVERA,,,America/Montevideo,UTC-3.0,,
Uruguay,Uruguay,UY,55100,ARTIGAS,ARTIGAS,CAINSA,CAINSA,,,America/Montevideo,UTC-3.0,-30.456453,-57.516442
Uruguay,Uruguay,UY,55100,ARTIGAS,ARTIGAS,CAINZA CAMPO 3,CAINZA CAMPO 3,,,America/Montevideo,UTC-3.0,-30.4045928,-57.619641
Uruguay,Uruguay,UY,55100,ARTIGAS,ARTIGAS,CALNU,CALNU,,,America/Montevideo,UTC-3.0,-30.456453,-57.516442
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,CAMAÑO,CAMAÑO,,,America/Montevideo,UTC-3.0,-30.4021986,-56.4769259
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,CATALAN GRANDE,CATALAN GRANDE,,,America/Montevideo,UTC-3.0,-30.405115,-56.4658701
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,CATALAN VOLCAN,CATALAN VOLCAN,,,America/Montevideo,UTC-3.0,-30.405115,-56.4658701
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,CERRITO,CERRITO,,,America/Montevideo,UTC-3.0,-30.5696471,-56.825717
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,CERRO EJIDO,CERRO EJIDO,,,America/Montevideo,UTC-3.0,,
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,CERRO SAN EUGENIO,CERRO SAN EUGENIO,,,America/Montevideo,UTC-3.0,,
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,CERRO SIGNORELLI,CERRO SIGNORELLI,,,America/Montevideo,UTC-3.0,,
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,CHIFLERO,CHIFLERO,,,America/Montevideo,UTC-3.0,-30.5696471,-56.825717
Uruguay,Uruguay,UY,55100,ARTIGAS,ARTIGAS,COLONIA ESPAÑA,COLONIA ESPAÑA,,,America/Montevideo,UTC-3.0,-30.4764938,-57.5954631
Uruguay,Uruguay,UY,55100,ARTIGAS,ARTIGAS,COLONIA ESTRELLA,COLONIA ESTRELLA,,,America/Montevideo,UTC-3.0,-30.4764938,-57.5954631
Uruguay,Uruguay,UY,55000,ARTIGAS,ARTIGAS,COLONIA JOSE ARTIGAS,COLONIA JOSE ARTIGAS,,,America/Montevideo,UTC-3.0,,
